time_step,time_beats,pitch_center_mass,velocity_mean,note_density,pitch_variance,pitch_center_mass_smoothed,pitch_center_mass_derivative
0,0.000000,64.405405,92.500000,2,324.000000,62.102545,-3.265703
1,0.500000,65.367347,98.000000,3,224.000000,58.836843,-1.356536
2,1.000000,56.534884,86.000000,2,144.000000,59.389474,0.366120
3,1.500000,49.039735,75.500000,2,36.000000,59.569083,-0.831268
4,2.000000,61.600000,86.666667,3,224.000000,57.726939,-1.651483
5,2.500000,65.303448,96.666667,3,224.000000,56.266116,0.554379
6,3.000000,56.156627,83.000000,2,144.000000,58.835697,1.691570
7,3.500000,49.230769,78.000000,2,36.000000,59.649256,-0.481847
8,4.000000,61.887640,89.000000,3,213.555556,57.872002,-1.554290
9,4.500000,65.667797,98.333333,3,210.888889,56.540677,0.638005
10,5.000000,56.417178,81.500000,2,132.250000,59.148011,1.700260
11,5.500000,49.500000,75.000000,2,30.250000,59.941198,-0.117037
12,6.000000,62.267442,86.000000,3,226.888889,58.913937,-0.518667
13,6.500000,65.853571,93.333333,3,221.555556,58.903864,1.229238
14,7.000000,60.531496,84.666667,3,122.888889,61.372413,1.561974
15,7.500000,56.366812,76.333333,3,96.000000,62.027813,-0.636902
16,8.000000,61.842742,82.666667,3,234.888889,60.098608,-2.072114
17,8.500000,65.544444,90.000000,3,237.555556,57.883584,-0.579274
18,9.000000,56.207547,79.500000,2,156.250000,58.940061,0.884719
19,9.500000,49.456376,74.500000,2,42.250000,59.653022,-0.639686
20,10.000000,61.649194,82.666667,3,234.888889,57.660689,-1.650038
21,10.500000,65.407547,88.333333,3,237.555556,56.352946,0.582981
22,11.000000,55.582781,75.500000,2,156.250000,58.826651,1.632607
23,11.500000,49.668831,77.000000,2,42.250000,59.618161,-0.539267
24,12.000000,61.824903,85.666667,3,234.888889,57.748116,-1.562921
25,12.500000,65.606742,89.000000,3,237.555556,56.492320,0.539834
26,13.000000,56.057325,78.500000,2,156.250000,58.827784,1.541422
27,13.500000,49.303797,79.000000,2,36.000000,59.575163,-0.588908
28,14.000000,61.346154,86.666667,3,237.555556,57.649969,-1.607252
29,14.500000,65.561798,89.000000,3,237.555556,56.360659,0.540238
30,15.000000,55.980769,78.000000,2,156.250000,58.730445,1.601365
31,15.500000,49.610778,83.500000,2,36.000000,59.563388,-0.541631
32,16.000000,61.152727,91.666667,3,224.000000,57.647183,-1.656180
33,16.500000,65.510870,92.000000,3,226.888889,56.251029,0.489872
34,17.000000,55.980769,78.000000,2,156.250000,58.626928,1.586395
35,17.500000,49.000000,75.000000,2,36.000000,59.423819,-0.128232
36,18.000000,61.490272,85.666667,3,224.000000,58.370464,-0.541996
37,18.500000,65.137184,92.333333,3,224.000000,58.339827,1.259100
38,19.000000,60.244094,84.666667,3,133.555556,60.888665,1.653963
39,19.500000,55.827586,77.333333,3,104.222222,61.647753,-0.112830
40,20.000000,61.744186,86.000000,3,224.000000,60.663004,-0.907654
41,20.500000,65.285714,93.333333,3,224.000000,59.832446,0.171475
42,21.000000,60.213439,84.333333,3,133.555556,61.005953,0.920917
43,21.500000,56.091304,76.666667,3,104.222222,61.674280,-0.633648
44,22.000000,61.695122,82.000000,3,234.888889,59.738656,-2.052421
45,22.500000,65.085821,89.333333,3,234.888889,57.569438,-0.479173
46,23.000000,55.607595,79.000000,2,144.000000,58.780311,0.976142
47,23.500000,49.367347,73.500000,2,42.250000,59.521721,-0.509305
48,24.000000,62.145669,84.666667,3,210.888889,57.761700,-1.498203
49,24.500000,65.402174,92.000000,3,210.888889,56.525316,0.668062
50,25.000000,56.285714,80.500000,2,132.250000,59.097824,1.641298
51,25.500000,49.425676,74.000000,2,30.250000,59.807912,-0.556602
52,26.000000,62.229885,87.000000,3,213.555556,57.984620,-1.593909
53,26.500000,65.696113,94.333333,3,210.888889,56.620095,0.579715
54,27.000000,56.285714,80.500000,2,132.250000,59.144051,1.594162
55,27.500000,49.463087,74.500000,2,30.250000,59.808419,-0.648539
56,28.000000,62.045455,88.000000,3,224.000000,57.846974,-1.705320
57,28.500000,65.551724,96.666667,3,224.000000,56.397778,0.534711
58,29.000000,55.888889,81.000000,2,144.000000,58.916396,1.614558
59,29.500000,49.039735,75.500000,2,36.000000,59.626893,-0.617936
60,30.000000,62.056180,89.000000,3,224.000000,57.680524,-1.658100
61,30.500000,65.597938,97.000000,3,224.000000,56.310693,0.603941
62,31.000000,55.819876,80.500000,2,144.000000,58.888406,1.632716
63,31.500000,49.039735,75.500000,2,36.000000,59.576125,-0.627046
64,32.000000,61.928302,88.333333,3,224.000000,57.634315,-1.644998
65,32.500000,65.494774,95.666667,3,224.000000,56.286129,0.572703
66,33.000000,55.888889,81.000000,2,144.000000,58.779721,1.574606
67,33.500000,49.078947,76.000000,2,36.000000,59.435342,-0.625961
68,34.000000,61.507692,86.666667,3,224.000000,57.527798,-1.638687
69,34.500000,65.206406,93.666667,3,224.000000,56.157967,0.546879
70,35.000000,55.957055,81.500000,2,144.000000,58.621555,1.592453
71,35.500000,49.039735,75.500000,2,36.000000,59.342874,-0.564276
72,36.000000,61.396887,85.666667,3,224.000000,57.493004,-1.612746
73,36.500000,65.114286,93.333333,3,224.000000,56.117382,0.591989
74,37.000000,55.957055,81.500000,2,144.000000,58.676982,1.684322
75,37.500000,49.078947,76.000000,2,36.000000,59.486026,-0.518018
76,38.000000,61.837736,88.333333,3,224.000000,57.640947,-1.610350
77,38.500000,65.442105,95.000000,3,224.000000,56.265325,0.516744
78,39.000000,55.888889,81.000000,2,144.000000,58.674435,1.553488
79,39.500000,49.078947,76.000000,2,36.000000,59.372301,-0.169586
80,40.000000,61.124498,83.000000,3,237.555556,58.335264,-0.561254
81,40.500000,65.327068,88.666667,3,237.555556,58.249794,1.315224
82,41.000000,60.256917,84.333333,3,133.555556,60.965712,1.915125
83,41.500000,55.461538,78.000000,3,96.000000,62.080043,-0.377464
84,42.000000,62.658537,82.000000,3,296.222222,60.210783,-2.019105
85,42.500000,66.696154,86.666667,3,284.666667,58.041832,-0.240191
86,43.000000,55.980769,78.000000,2,156.250000,59.730401,1.453619
87,43.500000,49.412162,74.000000,2,42.250000,60.949069,0.133861
88,44.000000,63.904382,83.666667,3,280.888889,59.998123,-0.468096
89,44.500000,68.751880,88.666667,3,280.888889,60.012878,1.786826
90,45.000000,61.941423,79.666667,3,152.888889,63.571774,2.557987
91,45.500000,56.054545,73.333333,3,96.000000,65.128852,0.313232
92,46.000000,67.206642,90.333333,3,328.222222,64.198239,-0.905030
93,46.500000,71.689769,101.000000,3,320.666667,63.318791,1.005765
94,47.000000,64.098814,84.333333,3,180.666667,66.209769,1.650964
95,47.500000,57.544186,71.666667,3,131.555556,66.620719,-0.680698
96,48.000000,70.509434,88.333333,3,348.666667,64.848373,-1.495446
97,48.500000,69.261391,104.250000,4,313.687500,63.629826,0.004155
98,49.000000,62.828042,94.500000,4,151.687500,64.856684,0.297993
99,49.500000,58.006079,82.250000,4,94.500000,64.225812,-0.959829
100,50.000000,63.678474,91.750000,4,211.500000,62.937026,-1.116386
101,50.500000,67.355072,103.500000,4,246.187500,61.993039,-0.197457
102,51.000000,62.817460,94.500000,4,151.687500,62.542112,0.335520
103,51.500000,58.108108,83.250000,4,94.500000,62.664080,-0.517816
104,52.000000,60.751445,86.500000,4,156.187500,61.506480,-1.489917
105,52.500000,64.288312,96.250000,4,189.500000,59.684246,-0.250383
106,53.000000,61.567073,82.000000,2,156.250000,61.005714,1.417288
107,53.500000,53.706294,71.500000,2,36.000000,62.518821,0.833390
108,54.000000,64.715447,82.000000,3,174.222222,62.672495,0.009260
109,54.500000,68.316981,88.333333,3,184.888889,62.537341,1.041794
110,55.000000,65.056680,82.333333,3,133.555556,64.756083,1.349265
111,55.500000,60.891304,76.666667,3,104.222222,65.235871,-0.264384
112,56.000000,64.800000,83.333333,3,174.222222,64.227314,-0.972779
113,56.500000,67.114391,90.333333,3,174.222222,63.290314,-0.112030
114,57.000000,63.274194,82.666667,3,110.222222,64.003253,0.554125
115,57.500000,60.371681,75.333333,3,96.000000,64.398565,-0.209651
116,58.000000,64.456000,83.333333,3,162.888889,63.583951,-0.734726
117,58.500000,66.776557,91.000000,3,164.666667,62.929112,0.111397
118,59.000000,63.041322,80.666667,3,110.222222,63.806744,0.660237
119,59.500000,60.000000,72.666667,3,96.000000,64.249587,-0.292091
120,60.000000,64.759843,84.666667,3,162.888889,63.222562,-0.936366
121,60.500000,66.670213,94.000000,3,162.888889,62.376855,0.050175
122,61.000000,61.641434,83.666667,3,84.666667,63.322913,0.660781
123,61.500000,58.812785,73.000000,3,67.555556,63.698417,-0.310099
124,62.000000,64.730290,80.333333,3,174.222222,62.702714,-0.773921
125,62.500000,66.637363,91.000000,3,172.666667,62.150574,0.181634
126,63.000000,61.691700,84.333333,3,84.666667,63.065983,0.560795
127,63.500000,58.880734,72.666667,3,67.555556,63.272164,-0.907143
128,64.000000,63.389831,78.666667,3,216.888889,61.251698,-2.226885
129,64.500000,65.761194,89.333333,3,224.000000,58.818394,-0.752589
130,65.000000,56.535032,78.500000,2,144.000000,59.746521,0.815276
131,65.500000,49.525180,69.500000,2,36.000000,60.448947,-0.593738
132,66.000000,63.521368,78.000000,3,280.888889,58.559046,-1.636752
133,66.500000,66.901961,85.000000,3,270.222222,57.175444,0.701444
134,67.000000,56.311688,77.000000,2,144.000000,59.961933,1.863155
135,67.500000,49.617021,70.500000,2,36.000000,60.901754,-0.043264
136,68.000000,63.457627,78.666667,3,280.888889,59.875404,-0.538839
137,68.500000,68.220472,84.666667,3,280.888889,59.824076,1.232468
138,69.000000,61.770213,78.333333,3,152.888889,62.340341,1.606533
139,69.500000,56.055046,72.666667,3,96.000000,63.037142,-0.310876
140,70.000000,62.198347,80.666667,3,224.000000,61.718589,-1.241854
141,70.500000,66.941634,85.666667,3,238.222222,60.553435,0.024367
142,71.000000,61.627706,77.000000,3,152.888889,61.767323,0.949900
143,71.500000,55.944444,72.000000,3,96.000000,62.453235,-0.767424
144,72.000000,62.124481,80.333333,3,224.000000,60.232475,-2.306953
145,72.500000,65.627907,86.000000,3,224.000000,57.839328,-0.593528
146,73.000000,55.837838,74.000000,2,144.000000,59.045419,0.945037
