time_step,time_beats,pitch_center_mass,velocity_mean,note_density,pitch_variance,pitch_center_mass_smoothed,pitch_center_mass_derivative
0,0.000000,62.943662,88.750000,4,180.000000,63.086530,-0.036083
1,0.500000,63.230366,95.500000,4,180.000000,63.050447,-0.050779
2,1.000000,63.085561,93.500000,4,180.000000,62.984973,-0.026022
3,1.500000,62.942197,86.500000,4,180.000000,62.998402,-0.005241
4,2.000000,62.723077,97.500000,4,180.000000,62.974490,-0.013846
5,2.500000,63.010811,92.500000,4,180.000000,62.970711,-0.004253
6,3.000000,63.110803,90.250000,4,180.000000,62.965984,-0.003428
7,3.500000,63.066667,90.000000,4,180.000000,62.963854,-0.141675
8,4.000000,62.918561,88.000000,6,126.250000,62.682633,-0.139154
9,4.500000,62.712430,89.833333,6,126.250000,62.685546,0.012024
10,5.000000,61.604706,85.000000,5,141.360000,62.706682,0.016207
11,5.500000,63.125364,85.750000,4,171.187500,62.717960,0.171016
12,6.000000,63.172348,88.000000,6,132.222222,63.048714,0.444577
13,6.500000,62.974952,86.500000,6,132.222222,63.607115,0.235264
14,7.000000,64.366197,85.200000,5,148.000000,63.519242,-0.093385
15,7.500000,64.396714,85.200000,5,148.000000,63.420346,-0.168389
16,8.000000,62.686000,83.333333,6,138.250000,63.182464,-0.214964
17,8.500000,62.677866,84.333333,6,138.250000,62.990418,-0.203732
18,9.000000,61.785542,83.000000,5,158.640000,62.775000,-0.051231
19,9.500000,63.405970,83.750000,4,189.187500,62.887956,0.099269
20,10.000000,63.319620,79.000000,4,189.187500,62.973537,0.274076
21,10.500000,63.250784,79.750000,4,189.187500,63.436108,0.162342
22,11.000000,63.105769,78.000000,4,189.187500,63.298221,-0.122994
23,11.500000,64.098398,87.400000,5,155.760000,63.190121,-0.198885
24,12.000000,62.716535,84.666667,6,138.250000,62.900452,-0.283363
25,12.500000,62.779116,83.000000,6,138.250000,62.623394,-0.380426
26,13.000000,61.802439,82.000000,5,158.640000,62.139600,-0.341638
27,13.500000,61.720482,83.000000,5,158.640000,61.940118,-0.031731
28,14.000000,61.679426,83.600000,5,158.640000,62.076138,0.049704
29,14.500000,61.719128,82.600000,5,158.640000,62.039527,-0.021232
30,15.000000,63.459215,82.750000,4,189.187500,62.033673,0.154559
31,15.500000,61.619385,84.600000,5,158.640000,62.348645,0.371843
32,16.000000,61.691211,84.200000,5,150.960000,62.777359,0.262893
33,16.500000,63.254286,87.500000,4,183.187500,62.874431,0.282653
34,17.000000,63.862700,87.400000,5,151.840000,63.342665,0.468683
35,17.500000,63.944573,86.600000,5,151.840000,63.811796,0.333461
36,18.000000,63.960557,86.200000,5,151.840000,64.009588,0.121321
37,18.500000,64.036866,86.800000,5,151.840000,64.054439,0.036664
38,19.000000,64.243243,88.800000,5,151.840000,64.082916,-0.071384
39,19.500000,64.086957,87.400000,5,151.840000,63.911671,-0.207145
40,20.000000,64.086957,87.400000,5,151.840000,63.668626,-0.129649
41,20.500000,63.104331,84.666667,6,138.250000,63.652372,-0.005030
42,21.000000,62.821643,83.166667,6,138.250000,63.658565,0.009341
43,21.500000,64.161972,85.200000,5,155.760000,63.671054,0.029542
44,22.000000,64.117925,84.800000,5,155.760000,63.717650,0.054152
45,22.500000,64.149398,83.000000,5,155.760000,63.779357,-0.050137
46,23.000000,63.337313,83.750000,4,186.250000,63.617377,-0.150554
47,23.500000,63.130178,84.500000,4,177.187500,63.478249,-0.252268
48,24.000000,63.352071,84.500000,4,168.250000,63.112840,-0.309259
49,24.500000,63.422287,85.250000,4,168.250000,62.859732,-0.099399
50,25.000000,62.322353,85.000000,5,141.360000,62.914043,0.027601
51,25.500000,62.071770,83.600000,5,141.360000,62.914933,-0.030380
52,26.000000,63.401734,86.500000,4,171.187500,62.853283,0.057579
53,26.500000,63.356522,86.250000,4,171.187500,63.030091,0.205159
54,27.000000,63.114035,85.500000,4,171.187500,63.263601,0.096010
55,27.500000,63.206395,86.000000,4,171.187500,63.222111,-0.029278
