time_step,time_beats,pitch_center_mass,velocity_mean,note_density,pitch_variance,pitch_center_mass_smoothed,pitch_center_mass_derivative
0,0.000000,55.387097,77.500000,2,144.000000,56.164459,0.077306
1,0.500000,57.217391,92.000000,2,144.000000,56.241765,0.074014
2,1.000000,55.888889,81.000000,2,144.000000,56.312487,0.202176
3,1.500000,56.473684,85.500000,2,144.000000,56.646118,-0.008770
4,2.000000,56.595376,86.500000,2,144.000000,56.294947,-0.087201
5,2.500000,57.055249,90.500000,2,144.000000,56.471715,0.498437
6,3.000000,55.461538,78.000000,2,144.000000,57.291822,0.827410
7,3.500000,56.772727,88.000000,2,144.000000,58.126534,0.284381
8,4.000000,60.574219,85.333333,3,122.888889,57.860583,0.046294
9,4.500000,60.768939,88.000000,3,122.888889,58.219123,0.554753
10,5.000000,55.725490,76.500000,2,132.250000,58.970089,0.368259
11,5.500000,57.254237,88.500000,2,132.250000,58.955640,-0.064365
12,6.000000,60.527559,84.666667,3,122.888889,58.841359,0.387252
13,6.500000,60.501976,84.333333,3,122.888889,59.730145,0.657736
14,7.000000,60.197531,81.000000,3,122.888889,60.156831,0.175446
15,7.500000,60.169421,80.666667,3,122.888889,60.081038,-0.546483
16,8.000000,59.387665,75.666667,3,133.555556,59.063864,-0.851094
17,8.500000,60.148594,83.000000,3,133.555556,58.378849,-0.889237
18,9.000000,55.416107,74.500000,2,156.250000,57.285390,-0.815014
19,9.500000,56.772455,83.500000,2,156.250000,56.748821,-0.812931
20,10.000000,54.702128,70.500000,2,156.250000,55.659527,-0.436564
21,10.500000,56.704819,83.000000,2,156.250000,55.875692,0.412350
22,11.000000,54.702128,70.500000,2,156.250000,56.484227,0.812113
23,11.500000,56.496933,81.500000,2,156.250000,57.499919,0.751910
24,12.000000,59.815126,79.333333,3,133.555556,57.988046,0.437487
25,12.500000,59.780591,79.000000,3,133.555556,58.374893,0.068220
26,13.000000,59.145455,73.333333,3,133.555556,58.124487,-0.443080
27,13.500000,56.636364,82.500000,2,156.250000,57.488734,-0.780182
28,14.000000,55.244898,73.500000,2,156.250000,56.564123,-0.706369
29,14.500000,56.636364,82.500000,2,156.250000,56.075996,-0.391946
30,15.000000,55.157534,73.000000,2,156.250000,55.780230,0.011556
31,15.500000,56.704819,83.000000,2,156.250000,56.099107,0.475386
32,16.000000,55.157534,73.000000,2,156.250000,56.731001,0.435105
33,16.500000,56.839286,84.000000,2,156.250000,56.969317,0.431663
34,17.000000,59.795833,80.000000,3,133.555556,57.594328,0.782703
35,17.500000,56.349112,84.500000,2,144.000000,58.534722,0.787483
36,18.000000,59.829876,80.333333,3,133.555556,59.169294,0.333213
37,18.500000,59.859504,80.666667,3,133.555556,59.201148,0.373229
38,19.000000,60.012146,82.333333,3,133.555556,59.915752,0.363615
39,19.500000,59.955102,81.666667,3,133.555556,59.928377,0.012576
40,20.000000,59.922131,81.333333,3,133.555556,59.940903,-0.002739
41,20.500000,59.893004,81.000000,3,133.555556,59.922900,-0.015211
42,21.000000,59.922131,81.333333,3,133.555556,59.910480,-0.012059
43,21.500000,59.922131,81.333333,3,133.555556,59.898781,-0.076598
44,22.000000,59.893004,81.000000,3,133.555556,59.757285,-0.434390
45,22.500000,59.863636,80.666667,3,133.555556,59.030001,-0.813573
46,23.000000,59.185520,73.666667,3,133.555556,58.130139,-0.759942
47,23.500000,56.285714,84.000000,2,144.000000,57.510118,-0.738758
48,24.000000,55.422819,74.500000,2,132.250000,56.652622,-0.668010
49,24.500000,56.792899,84.500000,2,132.250000,56.174098,-0.317834
50,25.000000,55.576159,75.500000,2,132.250000,56.016955,0.064441
51,25.500000,56.792899,84.500000,2,132.250000,56.302980,0.021338
52,26.000000,55.500000,75.000000,2,132.250000,56.059632,0.023600
53,26.500000,56.852941,85.000000,2,132.250000,56.350180,-0.026069
54,27.000000,55.576159,75.500000,2,132.250000,56.007494,-0.049914
55,27.500000,57.028902,86.500000,2,132.250000,56.250352,-0.048076
56,28.000000,55.079470,75.500000,2,144.000000,55.911342,-0.044070
57,28.500000,56.714286,87.500000,2,144.000000,56.162212,-0.061666
58,29.000000,55.157895,76.000000,2,144.000000,55.788011,-0.023619
59,29.500000,56.830508,88.500000,2,144.000000,56.114974,0.000000
60,30.000000,55.157895,76.000000,2,144.000000,55.788011,-0.019733
61,30.500000,56.714286,87.500000,2,144.000000,56.075507,-0.023513
62,31.000000,55.079470,75.500000,2,144.000000,55.740984,-0.023513
63,31.500000,56.595376,86.500000,2,144.000000,56.028480,-0.011891
64,32.000000,55.157895,76.000000,2,144.000000,55.717202,-0.004049
65,32.500000,56.595376,86.500000,2,144.000000,56.020383,0.015582
66,33.000000,55.157895,76.000000,2,144.000000,55.748367,0.007740
67,33.500000,56.595376,86.500000,2,144.000000,56.035863,0.007740
68,34.000000,55.235294,76.500000,2,144.000000,55.763847,-0.010621
69,34.500000,56.595376,86.500000,2,144.000000,56.014621,-0.010621
70,35.000000,55.235294,76.500000,2,144.000000,55.742605,0.005980
71,35.500000,56.411765,85.000000,2,144.000000,56.026580,0.005980
72,36.000000,55.235294,76.500000,2,144.000000,55.754564,0.000000
73,36.500000,56.655172,87.000000,2,144.000000,56.026580,0.018361
74,37.000000,55.235294,76.500000,2,144.000000,55.791286,0.012312
75,37.500000,56.595376,86.500000,2,144.000000,56.051204,-0.019769
76,38.000000,55.235294,76.500000,2,144.000000,55.751748,-0.025889
77,38.500000,56.534884,86.000000,2,144.000000,55.999427,-0.019909
78,39.000000,55.157895,76.000000,2,144.000000,55.711930,0.339227
79,39.500000,56.473684,85.500000,2,144.000000,56.677880,0.820773
80,40.000000,55.157895,76.000000,2,144.000000,57.353475,0.813295
81,40.500000,60.065041,82.000000,3,133.555556,58.304469,0.746228
82,41.000000,59.912863,80.333333,3,133.555556,58.845931,0.411649
83,41.500000,59.912863,80.333333,3,133.555556,59.127767,-0.349833
84,42.000000,59.180995,73.666667,3,133.555556,58.146266,-0.351167
85,42.500000,56.567073,82.000000,2,156.250000,58.425432,0.319726
86,43.000000,55.157534,73.000000,2,156.250000,58.785717,0.437905
87,43.500000,61.308696,76.666667,3,164.666667,59.301242,0.786463
88,44.000000,61.714286,77.000000,3,152.888889,60.358643,1.211252
89,44.500000,61.758621,77.333333,3,152.888889,61.723746,1.001351
90,45.000000,61.854077,77.666667,3,152.888889,62.361345,0.211575
91,45.500000,61.983051,78.666667,3,152.888889,62.146897,0.105532
92,46.000000,64.496689,75.500000,4,140.187500,62.572408,0.434121
93,46.500000,60.642045,88.000000,2,210.250000,63.015139,0.858640
94,47.000000,63.886179,82.000000,3,180.666667,64.289687,0.410957
95,47.500000,64.067729,83.666667,3,180.666667,63.837053,0.117887
96,48.000000,68.355795,92.750000,4,121.500000,64.525462,0.207358
97,48.500000,62.233516,91.000000,4,146.250000,64.251769,-0.289544
98,49.000000,64.084091,88.000000,5,138.160000,63.946375,-0.734200
99,49.500000,62.517711,91.750000,4,151.687500,62.783368,-0.550779
100,50.000000,62.540761,92.000000,4,151.687500,62.844817,-0.127003
101,50.500000,62.540761,92.000000,4,151.687500,62.529361,-0.161685
102,51.000000,62.540761,92.000000,4,151.687500,62.521447,-0.403068
103,51.500000,62.506812,91.750000,4,151.687500,61.723224,-0.570720
104,52.000000,62.478142,91.500000,4,151.687500,61.380007,0.094078
105,52.500000,58.549645,94.000000,3,124.222222,61.911381,0.515006
106,53.000000,60.824675,77.000000,2,156.250000,62.410018,0.484005
107,53.500000,65.197628,84.333333,3,133.555556,62.879390,0.936909
108,54.000000,65.000000,82.000000,3,133.555556,64.283836,0.941032
109,54.500000,64.825000,80.000000,3,133.555556,64.761454,0.044256
110,55.000000,65.571875,80.000000,4,102.687500,64.372348,-0.365386
111,55.500000,63.212766,78.333333,3,116.666667,64.030682,-0.122343
112,56.000000,63.252101,79.333333,3,116.666667,64.127663,-0.215810
113,56.500000,63.291667,80.000000,3,116.666667,63.599062,-0.304221
