time_step,time_beats,pitch_center_mass,velocity_mean,note_density,pitch_variance,pitch_center_mass_smoothed,pitch_center_mass_derivative
0,0.000000,69.588235,51.000000,3,96.000000,66.311094,1.240408
1,0.500000,59.351145,65.500000,4,180.000000,67.551503,-0.139572
2,1.000000,69.993902,54.666667,3,104.222222,66.031949,-1.754660
3,1.500000,71.272727,71.500000,2,42.250000,64.042183,-1.033110
4,2.000000,59.953737,70.250000,4,195.000000,63.965729,0.026520
5,2.500000,59.639405,67.250000,4,195.000000,64.095224,-0.146383
6,3.000000,58.968872,64.250000,4,195.000000,63.672962,0.703037
7,3.500000,70.641379,72.500000,2,36.000000,65.501299,1.947579
8,4.000000,69.161417,63.500000,4,72.187500,67.568120,2.241596
9,4.500000,69.095420,65.500000,4,72.187500,69.984490,1.069247
10,5.000000,69.973510,50.333333,3,96.222222,69.706614,0.009855
11,5.500000,71.050725,69.000000,2,42.250000,70.004201,0.292772
12,6.000000,69.252000,62.500000,4,72.187500,70.292159,0.310265
13,6.500000,70.649351,51.333333,3,96.000000,70.624730,-0.022052
14,7.000000,70.535211,47.333333,3,96.000000,70.248054,-0.198215
15,7.500000,71.636364,66.000000,2,36.000000,70.228300,-0.025157
16,8.000000,69.167347,61.250000,4,78.250000,70.197740,0.095643
17,8.500000,69.153226,62.000000,4,78.250000,70.419587,0.001832
18,9.000000,70.496552,48.333333,3,104.222222,70.201405,0.024921
19,9.500000,71.644444,67.500000,2,36.000000,70.469428,0.273234
20,10.000000,70.545455,44.000000,3,96.000000,70.747874,0.216038
21,10.500000,70.507463,44.666667,3,96.000000,70.901504,-0.172429
22,11.000000,70.545455,44.000000,3,96.000000,70.403016,-0.386239
23,11.500000,71.264706,68.000000,2,36.000000,70.129027,-0.142985
24,12.000000,69.152000,62.500000,4,78.250000,70.117045,-0.100791
25,12.500000,69.175510,61.250000,4,78.250000,69.927445,-0.313302
26,13.000000,70.447552,47.666667,3,104.222222,69.490440,-0.073980
27,13.500000,69.597458,78.666667,3,34.888889,69.779485,0.273450
28,14.000000,69.079681,62.750000,4,78.250000,70.037340,0.034992
29,14.500000,70.597222,48.000000,3,104.222222,69.849469,-1.109407
30,15.000000,70.464789,47.333333,3,104.222222,67.818527,-0.955923
31,15.500000,69.508197,81.333333,3,34.888889,67.937623,-0.021089
32,16.000000,59.442748,65.500000,4,180.000000,67.776348,-0.033454
33,16.500000,69.675159,52.333333,3,96.000000,67.870715,0.082269
34,17.000000,69.790850,51.000000,3,104.222222,67.940887,0.025695
35,17.500000,70.936620,71.000000,2,42.250000,67.922105,-0.975089
36,18.000000,69.859060,49.666667,3,104.222222,65.990710,-0.874412
37,18.500000,59.348837,64.500000,4,189.187500,66.173281,-0.101209
38,19.000000,60.018182,68.750000,4,180.000000,65.788291,-0.114571
39,19.500000,70.703704,81.000000,2,36.000000,65.944139,1.194788
40,20.000000,69.011673,64.250000,4,72.187500,68.177868,2.278683
41,20.500000,70.638298,47.000000,3,96.000000,70.501504,1.151149
42,21.000000,70.517483,47.666667,3,96.000000,70.480166,-0.012663
43,21.500000,71.636364,66.000000,2,36.000000,70.476179,-0.066513
44,22.000000,70.597015,44.666667,3,96.000000,70.347140,-0.027217
45,22.500000,68.991736,60.500000,4,72.187500,70.421746,-0.171334
46,23.000000,69.993103,48.333333,3,96.222222,70.004473,-1.334492
47,23.500000,70.890511,68.500000,2,42.250000,67.752762,-2.052112
48,24.000000,69.550000,53.333333,3,96.000000,65.900249,-1.175567
49,24.500000,59.338462,65.000000,4,180.000000,65.401628,-0.377835
50,25.000000,59.729167,76.800000,5,176.640000,65.144578,-0.121273
51,25.500000,67.500000,93.333333,3,46.222222,65.159082,1.042496
52,26.000000,69.605263,50.666667,3,96.000000,67.229571,1.024979
53,26.500000,69.622517,50.333333,3,96.000000,67.209039,-0.843343
54,27.000000,69.690909,55.000000,3,96.000000,65.542885,-1.864815
55,27.500000,59.626506,83.000000,3,224.000000,63.479408,-2.050381
56,28.000000,59.169231,65.000000,4,195.000000,61.442123,-2.010568
57,28.500000,59.287879,66.000000,4,195.000000,59.458272,0.031313
58,29.000000,59.436090,66.500000,4,195.000000,61.504750,2.022854
59,29.500000,59.771654,84.666667,3,224.000000,63.503981,2.111494
60,30.000000,69.858896,54.333333,3,104.222222,65.727738,2.131794
61,30.500000,69.165385,65.000000,4,78.250000,67.767569,1.000109
62,31.000000,70.406667,50.000000,3,104.222222,67.727956,-0.039030
63,31.500000,69.635246,81.333333,3,34.888889,67.689510,0.015219
64,32.000000,59.573585,66.250000,4,180.000000,67.758394,0.062347
65,32.500000,69.666667,54.000000,3,96.000000,67.814203,0.023204
66,33.000000,69.509804,51.000000,3,96.000000,67.804801,1.000192
67,33.500000,70.685714,70.000000,2,36.000000,69.814587,0.949967
68,34.000000,69.588235,51.000000,3,96.000000,69.704736,-0.034598
69,34.500000,69.622517,50.333333,3,96.000000,69.745391,-0.093244
70,35.000000,69.117409,61.750000,4,78.250000,69.518248,-1.118462
