time_step,time_beats,pitch_center_mass,velocity_mean,note_density,pitch_variance,pitch_center_mass_smoothed,pitch_center_mass_derivative
0,0.000000,64.405405,92.500000,2,324.000000,59.385893,-2.586540
1,0.500000,57.217391,92.000000,2,144.000000,56.799354,-0.540596
2,1.000000,56.534884,86.000000,2,144.000000,58.304700,0.017658
3,1.500000,49.039735,75.500000,2,36.000000,56.834669,-0.841092
4,2.000000,64.326087,92.000000,2,324.000000,56.622516,-0.836488
5,2.500000,57.055249,90.500000,2,144.000000,55.161693,0.894647
6,3.000000,56.156627,83.000000,2,144.000000,58.411811,0.995711
7,3.500000,49.230769,78.000000,2,36.000000,57.153115,-0.647143
8,4.000000,65.290323,93.000000,2,289.000000,57.117526,-0.633457
9,4.500000,58.032609,92.000000,2,121.000000,55.886200,1.085851
10,5.000000,56.877301,81.500000,2,121.000000,59.289227,0.913179
11,5.500000,50.000000,75.000000,2,25.000000,57.712558,-0.838092
12,6.000000,66.245902,91.500000,2,324.000000,57.613042,-0.649733
13,6.500000,57.406977,86.000000,2,121.000000,56.413092,0.880707
14,7.000000,57.535032,78.500000,2,144.000000,59.374456,0.602246
15,7.500000,50.877551,73.500000,2,36.000000,57.617583,-0.945549
16,8.000000,64.806818,88.000000,2,361.000000,57.483358,-0.825314
17,8.500000,57.461538,84.500000,2,169.000000,55.966955,0.616113
18,9.000000,56.735849,79.500000,2,169.000000,58.715583,0.618933
19,9.500000,49.953020,74.500000,2,49.000000,57.204822,-0.892925
20,10.000000,64.620690,87.000000,2,361.000000,56.929733,-0.792948
21,10.500000,57.253012,83.000000,2,169.000000,55.618927,0.848171
22,11.000000,56.086093,75.500000,2,169.000000,58.626075,0.752481
23,11.500000,50.181818,77.000000,2,49.000000,57.123889,-0.818433
24,12.000000,64.988764,89.000000,2,361.000000,56.989210,-0.745569
25,12.500000,57.109756,82.000000,2,169.000000,55.632751,0.793419
26,13.000000,56.579618,78.500000,2,169.000000,58.576048,0.690954
27,13.500000,49.303797,79.000000,2,36.000000,57.014659,-0.841670
28,14.000000,64.898305,88.500000,2,361.000000,56.892708,-0.757860
29,14.500000,57.181818,82.500000,2,169.000000,55.498940,0.797326
30,15.000000,56.500000,78.000000,2,169.000000,58.487361,0.743666
31,15.500000,49.610778,83.500000,2,36.000000,56.986271,-0.818727
32,16.000000,64.245902,91.500000,2,324.000000,56.849907,-0.818182
33,16.500000,57.392857,84.000000,2,169.000000,55.349907,0.705406
34,17.000000,56.500000,78.000000,2,169.000000,58.260719,0.671992
35,17.500000,49.000000,75.000000,2,36.000000,56.693891,-0.849115
36,18.000000,64.164835,91.000000,2,324.000000,56.562490,-0.823809
37,18.500000,56.411765,85.000000,2,144.000000,55.046274,0.782432
38,19.000000,56.735849,79.500000,2,169.000000,58.127355,0.765233
39,19.500000,48.918919,74.000000,2,36.000000,56.576741,-0.750661
40,20.000000,64.405405,92.500000,2,324.000000,56.626033,-0.663224
41,20.500000,56.411765,85.000000,2,144.000000,55.250292,0.882306
42,21.000000,56.658228,79.000000,2,169.000000,58.390646,0.764548
43,21.500000,49.857143,73.500000,2,49.000000,56.779387,-0.886046
44,22.000000,64.620690,87.000000,2,361.000000,56.618554,-0.760525
