time_step,time_beats,pitch_center_mass,velocity_mean,note_density,pitch_variance,pitch_center_mass_smoothed,pitch_center_mass_derivative
0,0.000000,62.943662,88.750000,4,180.000000,63.086530,-0.036083
1,0.500000,63.230366,95.500000,4,180.000000,63.050447,-0.050779
2,1.000000,63.085561,93.500000,4,180.000000,62.984973,-0.026022
3,1.500000,62.942197,86.500000,4,180.000000,62.998402,-0.005241
4,2.000000,62.723077,97.500000,4,180.000000,62.974490,-0.013846
5,2.500000,63.010811,92.500000,4,180.000000,62.970711,0.042148
6,3.000000,63.110803,90.250000,4,180.000000,63.058787,0.088428
7,3.500000,63.066667,90.000000,4,180.000000,63.147566,0.055483
8,4.000000,63.382576,88.000000,6,121.000000,63.169752,0.034415
9,4.500000,63.166976,89.833333,6,121.000000,63.216396,0.101125
10,5.000000,63.121739,86.250000,4,162.750000,63.372002,0.249906
11,5.500000,63.344023,85.750000,4,162.750000,63.716208,0.369490
12,6.000000,63.844697,88.000000,6,132.888889,64.110982,0.402584
13,6.500000,65.103604,88.800000,5,146.560000,64.521376,0.190395
14,7.000000,65.140845,85.200000,5,146.560000,64.491771,-0.079904
15,7.500000,65.173709,85.200000,5,146.560000,64.361567,-0.157254
16,8.000000,63.196000,83.333333,6,145.000000,64.177264,-0.188027
17,8.500000,63.193676,84.333333,6,145.000000,63.985513,-0.205019
18,9.000000,64.182090,83.750000,4,198.750000,63.767227,-0.027176
19,9.500000,64.182090,83.750000,4,198.750000,63.931161,0.149138
20,10.000000,64.082278,79.000000,4,198.750000,64.065503,0.120129
21,10.500000,64.015674,79.750000,4,198.750000,64.171419,-0.040054
22,11.000000,63.865385,78.000000,4,198.750000,63.985395,-0.170718
23,11.500000,64.711670,87.400000,5,162.240000,63.829984,-0.061803
24,12.000000,63.251969,84.666667,6,145.000000,63.861789,-0.136660
25,12.500000,63.305221,83.000000,6,145.000000,63.556664,-0.393586
26,13.000000,64.174699,83.000000,4,198.750000,63.074617,-0.148039
27,13.500000,62.339759,83.000000,5,168.000000,63.260586,0.185726
28,14.000000,62.301435,83.600000,5,168.000000,63.446068,-0.102270
29,14.500000,64.181818,82.500000,4,198.750000,63.056045,-0.119245
30,15.000000,64.232628,82.750000,4,198.750000,63.207578,0.194194
31,15.500000,62.224586,84.600000,5,168.000000,63.444434,0.105052
32,16.000000,63.097421,87.250000,4,186.750000,63.417681,-0.023475
33,16.500000,63.485714,87.500000,4,186.750000,63.397483,0.182524
34,17.000000,64.048055,87.400000,5,154.240000,63.782728,0.305461
35,17.500000,64.131640,86.600000,5,154.240000,64.008405,0.207510
36,18.000000,64.150812,86.200000,5,154.240000,64.197749,0.117555
37,18.500000,64.225806,86.800000,5,154.240000,64.243516,0.037408
38,19.000000,64.432432,88.800000,5,154.240000,64.272565,-0.037958
39,19.500000,64.276888,87.400000,5,154.240000,64.167600,0.000993
40,20.000000,64.276888,87.400000,5,154.240000,64.274551,0.086289
41,20.500000,63.625984,84.666667,6,145.000000,64.340177,0.076822
42,21.000000,64.760563,85.200000,5,162.240000,64.428196,0.093188
43,21.500000,64.760563,85.200000,5,162.240000,64.526553,0.073147
44,22.000000,64.716981,84.800000,5,162.240000,64.574491,-0.117768
45,22.500000,64.768675,83.000000,5,162.240000,64.291017,-0.239095
46,23.000000,63.865672,83.750000,4,193.000000,64.096301,-0.183426
47,23.500000,63.343195,84.500000,4,174.750000,63.924166,-0.295876
48,24.000000,63.786982,84.500000,4,157.000000,63.504548,-0.238985
49,24.500000,63.856305,85.250000,4,157.000000,63.446197,-0.001646
50,25.000000,62.670588,85.000000,5,133.440000,63.501257,0.006223
51,25.500000,63.573913,86.250000,4,162.750000,63.458643,-0.073604
52,26.000000,63.618497,86.500000,4,162.750000,63.354049,0.023086
53,26.500000,63.573913,86.250000,4,162.750000,63.504815,0.041923
54,27.000000,63.333333,85.500000,4,162.750000,63.437896,-0.075881
55,27.500000,63.424419,86.000000,4,162.750000,63.353053,-0.072694
