time_step,time_beats,pitch_center_mass,velocity_mean,note_density,pitch_variance,pitch_center_mass_smoothed,pitch_center_mass_derivative
0,0.000000,55.387097,77.500000,2,144.000000,56.164459,0.077306
1,0.500000,57.217391,92.000000,2,144.000000,56.241765,0.074014
2,1.000000,55.888889,81.000000,2,144.000000,56.312487,0.202176
3,1.500000,56.473684,85.500000,2,144.000000,56.646118,-0.008770
4,2.000000,56.595376,86.500000,2,144.000000,56.294947,-0.087201
5,2.500000,57.055249,90.500000,2,144.000000,56.471715,0.179725
6,3.000000,55.461538,78.000000,2,144.000000,56.654397,0.567410
7,3.500000,56.772727,88.000000,2,144.000000,57.606534,0.392112
8,4.000000,57.387097,77.500000,2,144.000000,57.438622,0.137687
9,4.500000,61.356061,88.000000,3,118.222222,57.881907,0.290524
10,5.000000,56.215686,76.500000,2,121.000000,58.019670,0.442029
11,5.500000,57.677966,88.500000,2,121.000000,58.765966,0.317789
12,6.000000,57.461538,78.000000,2,144.000000,58.655247,0.400758
13,6.500000,61.118577,84.333333,3,118.222222,59.567482,0.227030
14,7.000000,60.802469,81.000000,3,118.222222,59.109308,0.077370
15,7.500000,60.776860,80.666667,3,118.222222,59.722221,-0.214126
16,8.000000,55.387097,77.500000,2,144.000000,58.681056,-0.868494
17,8.500000,60.526104,83.000000,3,139.555556,57.985233,-0.908576
18,9.000000,55.912752,74.500000,2,169.000000,56.863904,-0.374073
19,9.500000,57.323353,83.500000,2,169.000000,57.237087,-0.348998
20,10.000000,55.170213,70.500000,2,169.000000,56.165909,-0.423183
21,10.500000,57.253012,83.000000,2,169.000000,56.390720,-0.136146
22,11.000000,55.170213,70.500000,2,169.000000,55.893617,0.250039
23,11.500000,57.036810,81.500000,2,169.000000,56.890798,0.346759
24,12.000000,54.837838,74.000000,2,144.000000,56.587134,0.049329
25,12.500000,60.156118,79.000000,3,139.555556,56.989456,0.070949
26,13.000000,55.734694,73.500000,2,169.000000,56.729032,0.104186
27,13.500000,57.181818,82.500000,2,169.000000,57.197828,-0.216830
28,14.000000,55.734694,73.500000,2,169.000000,56.295372,-0.299396
29,14.500000,57.181818,82.500000,2,169.000000,56.599036,-0.001966
30,15.000000,55.643836,73.000000,2,169.000000,56.291439,0.012018
31,15.500000,57.253012,83.000000,2,169.000000,56.623072,0.456801
32,16.000000,55.643836,73.000000,2,169.000000,57.205041,0.361513
33,16.500000,57.392857,84.000000,2,169.000000,57.346097,0.358090
34,17.000000,60.091667,80.000000,3,139.555556,57.921221,0.738881
35,17.500000,56.349112,84.500000,2,144.000000,58.823858,0.743207
36,18.000000,60.128631,80.333333,3,139.555556,59.407635,0.308436
37,18.500000,60.157025,80.666667,3,139.555556,59.440730,0.403768
38,19.000000,60.311741,82.333333,3,139.555556,60.215170,0.393698
39,19.500000,60.257143,81.666667,3,139.555556,60.228127,0.012907
40,20.000000,60.221311,81.333333,3,139.555556,60.240984,-0.002614
41,20.500000,60.193416,81.000000,3,139.555556,60.222899,-0.015416
42,21.000000,60.221311,81.333333,3,139.555556,60.210153,-0.011975
43,21.500000,60.221311,81.333333,3,139.555556,60.198949,-0.541160
44,22.000000,60.193416,81.000000,3,139.555556,59.127833,-0.929117
45,22.500000,60.165289,80.666667,3,139.555556,58.340714,-0.823073
46,23.000000,54.837838,74.000000,2,144.000000,57.481686,-0.725187
47,23.500000,56.285714,84.000000,2,144.000000,56.890340,-0.704917
48,24.000000,55.926174,74.500000,2,121.000000,56.071852,-0.169359
49,24.500000,57.236686,84.500000,2,121.000000,56.551622,0.211313
50,25.000000,56.072848,75.500000,2,121.000000,56.494479,0.108223
51,25.500000,57.236686,84.500000,2,121.000000,56.768068,0.020410
52,26.000000,56.000000,75.000000,2,121.000000,56.535300,0.022574
53,26.500000,57.294118,85.000000,2,121.000000,56.813216,-0.076764
54,27.000000,56.072848,75.500000,2,121.000000,56.381773,-0.144293
55,27.500000,57.462428,86.500000,2,121.000000,56.524630,-0.142194
56,28.000000,55.079470,75.500000,2,144.000000,56.097385,-0.137856
57,28.500000,56.714286,87.500000,2,144.000000,56.248917,-0.154687
58,29.000000,55.157895,76.000000,2,144.000000,55.788011,-0.066972
59,29.500000,56.830508,88.500000,2,144.000000,56.114974,0.000000
60,30.000000,55.157895,76.000000,2,144.000000,55.788011,-0.019733
61,30.500000,56.714286,87.500000,2,144.000000,56.075507,-0.023513
62,31.000000,55.079470,75.500000,2,144.000000,55.740984,-0.023513
63,31.500000,56.595376,86.500000,2,144.000000,56.028480,-0.011891
64,32.000000,55.157895,76.000000,2,144.000000,55.717202,-0.004049
65,32.500000,56.595376,86.500000,2,144.000000,56.020383,0.015582
66,33.000000,55.157895,76.000000,2,144.000000,55.748367,0.007740
67,33.500000,56.595376,86.500000,2,144.000000,56.035863,0.007740
68,34.000000,55.235294,76.500000,2,144.000000,55.763847,-0.010621
69,34.500000,56.595376,86.500000,2,144.000000,56.014621,-0.010621
70,35.000000,55.235294,76.500000,2,144.000000,55.742605,0.005980
71,35.500000,56.411765,85.000000,2,144.000000,56.026580,0.005980
72,36.000000,55.235294,76.500000,2,144.000000,55.754564,0.000000
73,36.500000,56.655172,87.000000,2,144.000000,56.026580,0.018361
74,37.000000,55.235294,76.500000,2,144.000000,55.791286,0.012312
75,37.500000,56.595376,86.500000,2,144.000000,56.051204,-0.019769
76,38.000000,55.235294,76.500000,2,144.000000,55.751748,-0.025889
77,38.500000,56.534884,86.000000,2,144.000000,55.999427,-0.019909
78,39.000000,55.157895,76.000000,2,144.000000,55.711930,0.377438
79,39.500000,56.473684,85.500000,2,144.000000,56.754302,0.897158
80,40.000000,55.157895,76.000000,2,144.000000,57.506247,0.889643
81,40.500000,60.447154,82.000000,3,139.555556,58.533589,0.439772
82,41.000000,60.294606,80.333333,3,139.555556,58.385791,0.121287
83,41.500000,60.294606,80.333333,3,139.555556,58.776163,-0.285146
84,42.000000,55.734694,73.500000,2,169.000000,57.815499,-0.348053
85,42.500000,57.109756,82.000000,2,169.000000,58.080057,0.336584
86,43.000000,55.643836,73.000000,2,169.000000,58.488668,0.868767
87,43.500000,61.617391,76.666667,3,169.555556,59.817591,1.199409
88,44.000000,62.337662,77.000000,3,146.000000,60.887485,1.228614
89,44.500000,62.379310,77.333333,3,146.000000,62.274820,0.956928
90,45.000000,62.459227,77.666667,3,146.000000,62.801342,0.193699
91,45.500000,62.580508,78.666667,3,146.000000,62.662218,0.153889
92,46.000000,64.250000,78.666667,3,174.888889,63.109121,0.457608
93,46.500000,61.642045,88.000000,2,210.250000,63.577434,0.841066
94,47.000000,64.613821,82.000000,3,174.888889,64.791252,0.075590
95,47.500000,64.800797,83.666667,3,174.888889,63.728614,-0.753720
96,48.000000,68.649596,92.750000,4,124.687500,63.283812,-0.737734
97,48.500000,58.936813,91.000000,4,236.250000,62.253146,-1.045684
98,49.000000,59.418033,91.500000,4,250.500000,61.192443,-1.445583
99,49.500000,59.460490,91.750000,4,250.500000,59.361980,-0.859184
100,50.000000,59.497283,92.000000,4,250.500000,59.474074,0.059748
101,50.500000,59.497283,92.000000,4,250.500000,59.481476,-0.000818
102,51.000000,59.497283,92.000000,4,250.500000,59.472438,-0.486871
103,51.500000,59.455041,91.750000,4,250.500000,58.507733,-0.298314
104,52.000000,59.415301,91.500000,4,250.500000,58.875809,0.785298
105,52.500000,54.673759,94.000000,3,220.222222,60.078329,1.187463
106,53.000000,61.337662,77.000000,2,169.000000,61.250735,1.159673
107,53.500000,65.509881,84.333333,3,139.555556,62.397675,1.712657
108,54.000000,65.317073,82.000000,3,139.555556,64.676048,1.394782
109,54.500000,65.150000,80.000000,3,139.555556,65.187239,0.098305
110,55.000000,66.065625,80.000000,4,108.187500,64.872658,-0.291081
111,55.500000,63.893617,78.333333,3,126.888889,64.605077,-0.317410
112,56.000000,63.936975,79.333333,3,126.888889,64.237838,-0.458801
113,56.500000,63.979167,80.000000,3,126.888889,63.687475,-0.344204
