time_step,time_beats,pitch_center_mass,velocity_mean,note_density,pitch_variance,pitch_center_mass_smoothed,pitch_center_mass_derivative
0,0.000000,69.588235,51.000000,3,96.000000,66.406623,1.298694
1,0.500000,59.351145,65.500000,4,180.000000,67.705317,-0.125811
2,1.000000,70.280488,54.666667,3,112.888889,66.155001,-1.770041
3,1.500000,71.601399,71.500000,2,49.000000,64.165235,-1.033110
4,2.000000,59.953737,70.250000,4,195.000000,64.088780,-0.002138
5,2.500000,59.639405,67.250000,4,195.000000,64.160958,-0.147673
6,3.000000,58.968872,64.250000,4,195.000000,63.793434,0.788803
7,3.500000,70.641379,72.500000,2,36.000000,65.738565,2.041075
8,4.000000,69.763780,63.500000,4,72.750000,67.875585,2.307855
9,4.500000,69.679389,65.500000,4,72.750000,70.354274,1.162407
10,5.000000,70.324503,50.333333,3,96.888889,70.200398,0.111619
11,5.500000,71.362319,69.000000,2,49.000000,70.577512,0.374139
12,6.000000,69.872000,62.500000,4,72.750000,70.948677,0.416768
13,6.500000,71.649351,51.333333,3,96.000000,71.411049,0.066791
14,7.000000,71.535211,47.333333,3,96.000000,71.082259,-0.180627
15,7.500000,72.636364,66.000000,2,36.000000,71.049794,-0.038409
16,8.000000,69.718367,61.250000,4,85.000000,71.005441,0.088747
17,8.500000,69.709677,62.000000,4,85.000000,71.227288,0.001832
18,9.000000,71.427586,48.333333,3,112.888889,71.009106,0.069819
19,9.500000,72.644444,67.500000,2,36.000000,71.366925,0.362487
20,10.000000,71.545455,44.000000,3,96.000000,71.734080,0.267290
21,10.500000,71.507463,44.666667,3,96.000000,71.901504,-0.208732
22,11.000000,71.545455,44.000000,3,96.000000,71.316616,-0.473521
23,11.500000,72.264706,68.000000,2,36.000000,70.954463,-0.194060
24,12.000000,69.720000,62.500000,4,85.000000,70.928495,-0.151428
25,12.500000,69.734694,61.250000,4,85.000000,70.651608,-0.401966
26,13.000000,71.377622,47.666667,3,112.888889,70.124563,-0.082745
27,13.500000,70.161017,78.666667,3,38.222222,70.486119,0.346745
28,14.000000,69.629482,62.750000,4,85.000000,70.818053,0.033123
29,14.500000,71.527778,48.000000,3,112.888889,70.552365,-1.204671
30,15.000000,71.394366,47.333333,3,112.888889,68.408711,-1.067259
31,15.500000,70.049180,81.333333,3,38.222222,68.417846,-0.141021
