mode,scale_family,composition_type,time_step,time_sec,spectral_centroid,rms_energy,spectral_centroid_norm,rms_energy_norm,spectral_centroid_smooth,rms_energy_smooth,spectral_centroid_smooth_norm,rms_energy_smooth_norm
pelog_alternating,Pelog,Alternating,0,0.000000,3790.825524,0.004972,1.000000,0.148296,1230.876682,0.015599,0.298824,0.465209
pelog_alternating,Pelog,Alternating,1,0.046440,1503.940649,0.007089,0.401530,0.211427,1174.749078,0.015692,0.277713,0.467983
pelog_alternating,Pelog,Alternating,2,0.092880,1324.237799,0.006839,0.333939,0.203957,1241.419681,0.015594,0.302789,0.465077
pelog_alternating,Pelog,Alternating,3,0.139320,991.907122,0.006703,0.208941,0.199907,1218.463730,0.015319,0.294155,0.456856
pelog_alternating,Pelog,Alternating,4,0.185760,911.773337,0.007326,0.178801,0.218497,1186.584261,0.014992,0.282164,0.447114
pelog_alternating,Pelog,Alternating,5,0.232200,1199.059611,0.014500,0.286857,0.432429,1146.638993,0.014732,0.267140,0.439362
pelog_alternating,Pelog,Alternating,6,0.278639,960.154984,0.027975,0.196998,0.834311,1111.320487,0.014539,0.253856,0.433604
pelog_alternating,Pelog,Alternating,7,0.325079,588.490050,0.032516,0.057206,0.969733,1091.477855,0.014520,0.246392,0.433028
pelog_alternating,Pelog,Alternating,8,0.371519,524.079572,0.027197,0.032979,0.811105,1079.619019,0.014583,0.241932,0.434901
pelog_alternating,Pelog,Alternating,9,0.417959,514.298173,0.020871,0.029300,0.622433,1067.144809,0.014639,0.237240,0.436573
pelog_alternating,Pelog,Alternating,10,0.464399,613.473041,0.016622,0.066603,0.495715,1053.134978,0.014735,0.231971,0.439451
pelog_alternating,Pelog,Alternating,11,0.510839,1974.796312,0.014523,0.578631,0.433118,900.420371,0.015260,0.174531,0.455117
pelog_alternating,Pelog,Alternating,12,0.557279,942.992324,0.012011,0.190543,0.358204,894.698947,0.015694,0.172379,0.468042
pelog_alternating,Pelog,Alternating,13,0.603719,772.151154,0.010745,0.126285,0.320464,942.239739,0.016198,0.190260,0.483077
pelog_alternating,Pelog,Alternating,14,0.650159,587.405239,0.011093,0.056798,0.330842,941.041182,0.016682,0.189809,0.497511
pelog_alternating,Pelog,Alternating,15,0.696599,581.542897,0.011643,0.054593,0.347229,939.358108,0.017111,0.189176,0.510297
pelog_alternating,Pelog,Alternating,16,0.743039,773.995748,0.014211,0.126979,0.423808,918.779232,0.017116,0.181436,0.510454
pelog_alternating,Pelog,Alternating,17,0.789478,878.018801,0.015650,0.166105,0.466749,906.931534,0.016398,0.176980,0.489052
pelog_alternating,Pelog,Alternating,18,0.835918,842.609043,0.015647,0.152786,0.466657,935.096289,0.015966,0.187573,0.476160
pelog_alternating,Pelog,Alternating,19,0.882358,786.948190,0.016569,0.131851,0.494132,942.187477,0.016259,0.190240,0.484908
pelog_alternating,Pelog,Alternating,20,0.928798,736.533386,0.015479,0.112889,0.461632,946.203180,0.016801,0.191751,0.501062
pelog_alternating,Pelog,Alternating,21,0.975238,1389.512164,0.015757,0.358491,0.469925,944.326686,0.017201,0.191045,0.513002
pelog_alternating,Pelog,Alternating,22,1.021678,2275.053630,0.016922,0.691565,0.504658,874.314607,0.017424,0.164712,0.519633
pelog_alternating,Pelog,Alternating,23,1.068118,967.935989,0.016382,0.199925,0.488576,901.104018,0.017670,0.174788,0.526965
pelog_alternating,Pelog,Alternating,24,1.114558,878.111859,0.015901,0.166140,0.474220,927.313529,0.017902,0.184646,0.533891
pelog_alternating,Pelog,Alternating,25,1.160998,787.482093,0.014605,0.132052,0.435565,937.750395,0.018011,0.188572,0.537145
pelog_alternating,Pelog,Alternating,26,1.207438,723.201017,0.013623,0.107874,0.406271,942.735020,0.018070,0.190446,0.538912
pelog_alternating,Pelog,Alternating,27,1.253878,1151.785140,0.023870,0.269075,0.711890,936.334350,0.017978,0.188039,0.536152
pelog_alternating,Pelog,Alternating,28,1.300317,665.903344,0.033064,0.086323,0.986075,922.086956,0.017829,0.182680,0.531733
pelog_alternating,Pelog,Alternating,29,1.346757,594.612238,0.031704,0.059508,0.945514,925.717579,0.017811,0.184046,0.531176
pelog_alternating,Pelog,Alternating,30,1.393197,575.943148,0.024629,0.052487,0.734520,931.453859,0.017780,0.186203,0.530246
pelog_alternating,Pelog,Alternating,31,1.439637,574.554744,0.018969,0.051964,0.565727,937.001189,0.017810,0.188290,0.531142
pelog_alternating,Pelog,Alternating,32,1.486077,1478.780546,0.016928,0.392067,0.504847,907.459002,0.017839,0.177178,0.532014
pelog_alternating,Pelog,Alternating,33,1.532517,1296.341364,0.015390,0.323447,0.458992,830.810224,0.017754,0.148349,0.529474
pelog_alternating,Pelog,Alternating,34,1.578957,796.142561,0.013275,0.135309,0.395905,904.194214,0.017736,0.175950,0.528955
pelog_alternating,Pelog,Alternating,35,1.625397,681.235389,0.012828,0.092090,0.382577,925.211467,0.017667,0.183855,0.526904
pelog_alternating,Pelog,Alternating,36,1.671837,645.982347,0.012359,0.078830,0.368601,940.721650,0.017564,0.189689,0.523819
pelog_alternating,Pelog,Alternating,37,1.718277,593.070920,0.012687,0.058929,0.378384,949.356223,0.017512,0.192937,0.522271
pelog_alternating,Pelog,Alternating,38,1.764717,915.221505,0.015274,0.180098,0.455509,934.704013,0.016869,0.187426,0.503097
pelog_alternating,Pelog,Alternating,39,1.811156,901.673797,0.015945,0.175002,0.475541,954.406407,0.015993,0.194836,0.476975
pelog_alternating,Pelog,Alternating,40,1.857596,847.479985,0.016079,0.154618,0.479541,973.614401,0.015831,0.202061,0.472140
pelog_alternating,Pelog,Alternating,41,1.904036,798.668420,0.016342,0.136259,0.487377,975.246445,0.016279,0.202675,0.485490
pelog_alternating,Pelog,Alternating,42,1.950476,742.078069,0.015218,0.114974,0.453845,975.196972,0.016741,0.202656,0.499264
pelog_alternating,Pelog,Alternating,43,1.996916,2435.615802,0.016035,0.751957,0.478208,929.490600,0.016935,0.185465,0.505065
pelog_alternating,Pelog,Alternating,44,2.043356,1298.456905,0.014525,0.324242,0.433186,894.287828,0.016979,0.172224,0.506385
pelog_alternating,Pelog,Alternating,45,2.089796,1097.685752,0.012536,0.248727,0.373875,938.945148,0.017056,0.189021,0.508673
pelog_alternating,Pelog,Alternating,46,2.136236,895.892476,0.012584,0.172828,0.375310,946.673570,0.017072,0.191928,0.509131
pelog_alternating,Pelog,Alternating,47,2.182676,858.740943,0.011012,0.158854,0.328407,949.741357,0.017078,0.193082,0.509335
pelog_alternating,Pelog,Alternating,48,2.229116,1059.951236,0.015546,0.234534,0.463633,950.085483,0.017084,0.193211,0.509517
pelog_alternating,Pelog,Alternating,49,2.275556,978.772109,0.028462,0.204001,0.848825,933.209415,0.016960,0.186864,0.505810
pelog_alternating,Pelog,Alternating,50,2.321995,608.584025,0.033581,0.064764,1.000000,923.826902,0.016885,0.183335,0.503570
pelog_alternating,Pelog,Alternating,51,2.368435,573.565282,0.028207,0.051592,0.841223,924.593219,0.016861,0.183623,0.502839
pelog_alternating,Pelog,Alternating,52,2.414875,564.653122,0.020818,0.048240,0.620861,924.755875,0.016830,0.183684,0.501930
pelog_alternating,Pelog,Alternating,53,2.461315,592.285921,0.016275,0.058633,0.485381,925.608928,0.016888,0.184005,0.503643
pelog_alternating,Pelog,Alternating,54,2.507755,1689.288955,0.014810,0.471244,0.441674,839.845243,0.016858,0.151747,0.502777
pelog_alternating,Pelog,Alternating,55,2.554195,835.803835,0.013135,0.150227,0.391726,833.602894,0.016903,0.149399,0.504113
pelog_alternating,Pelog,Alternating,56,2.600635,707.338079,0.012496,0.101908,0.372684,895.562804,0.017082,0.172704,0.509454
pelog_alternating,Pelog,Alternating,57,2.647075,599.953441,0.012810,0.061517,0.382027,897.765265,0.017226,0.173532,0.513729
pelog_alternating,Pelog,Alternating,58,2.693515,577.700156,0.012787,0.053147,0.381365,896.714107,0.017431,0.173137,0.519843
pelog_alternating,Pelog,Alternating,59,2.739955,714.023521,0.014443,0.104422,0.430751,881.552955,0.017392,0.167434,0.518682
pelog_alternating,Pelog,Alternating,60,2.786395,862.806341,0.015589,0.160383,0.464920,869.301887,0.016680,0.162826,0.497457
pelog_alternating,Pelog,Alternating,61,2.832834,801.921535,0.015732,0.137483,0.469187,893.735509,0.016049,0.172016,0.478638
pelog_alternating,Pelog,Alternating,62,2.879274,759.139122,0.016367,0.121391,0.488107,898.855662,0.016022,0.173942,0.477827
pelog_alternating,Pelog,Alternating,63,2.925714,720.342114,0.015454,0.106799,0.460899,900.283321,0.016332,0.174479,0.487062
