mode,scale_family,composition_type,time_step,time_sec,spectral_centroid,rms_energy,spectral_centroid_norm,rms_energy_norm,spectral_centroid_smooth,rms_energy_smooth,spectral_centroid_smooth_norm,rms_energy_smooth_norm
pelog_layered,Pelog,Layered,0,0.000000,2478.827704,0.020437,0.768210,0.609499,1284.957138,0.027591,0.319165,0.822847
pelog_layered,Pelog,Layered,1,0.046440,1093.746306,0.029048,0.247246,0.866304,1247.975561,0.027211,0.305255,0.811531
pelog_layered,Pelog,Layered,2,0.092880,1010.055825,0.027281,0.215767,0.813603,1324.547992,0.027597,0.334056,0.823041
pelog_layered,Pelog,Layered,3,0.139320,866.627737,0.022785,0.161820,0.679535,1299.062789,0.028271,0.324470,0.843151
pelog_layered,Pelog,Layered,4,0.185760,863.416782,0.018182,0.160613,0.542263,1270.249128,0.028626,0.313633,0.853718
pelog_layered,Pelog,Layered,5,0.232200,2076.806762,0.023543,0.617000,0.702136,1237.136993,0.028679,0.301178,0.855316
pelog_layered,Pelog,Layered,6,0.278639,1761.799158,0.035799,0.498517,1.000000,1207.917997,0.028508,0.290188,0.850213
pelog_layered,Pelog,Layered,7,0.325079,976.965021,0.038310,0.203321,1.000000,1253.474636,0.028469,0.307323,0.849036
pelog_layered,Pelog,Layered,8,0.371519,883.770114,0.033309,0.168268,0.993387,1247.848209,0.028665,0.305207,0.854874
pelog_layered,Pelog,Layered,9,0.417959,837.555976,0.027212,0.150886,0.811548,1227.822992,0.028829,0.297675,0.859786
pelog_layered,Pelog,Layered,10,0.464399,878.159794,0.023417,0.166158,0.698369,1203.954015,0.028856,0.288697,0.860575
pelog_layered,Pelog,Layered,11,0.510839,2166.844731,0.031843,0.650865,0.949659,1116.795975,0.029147,0.255915,0.869265
pelog_layered,Pelog,Layered,12,0.557279,993.240354,0.036363,0.209443,1.000000,1129.369757,0.029092,0.260644,0.867630
pelog_layered,Pelog,Layered,13,0.603719,895.671527,0.033232,0.172745,0.991087,1165.009984,0.029826,0.274050,0.889519
pelog_layered,Pelog,Layered,14,0.650159,773.567108,0.029429,0.126818,0.877683,1170.151777,0.031042,0.275984,0.925768
pelog_layered,Pelog,Layered,15,0.696599,769.633062,0.025942,0.125338,0.773673,1173.081341,0.032170,0.277085,0.959425
pelog_layered,Pelog,Layered,16,0.743039,1982.380856,0.027837,0.581484,0.830195,1112.423030,0.032691,0.254270,0.974952
pelog_layered,Pelog,Layered,17,0.789478,1152.198953,0.031992,0.269231,0.954122,1066.759250,0.032315,0.237095,0.963748
pelog_layered,Pelog,Layered,18,0.835918,867.369075,0.031794,0.162099,0.948215,1124.052526,0.032074,0.258644,0.956567
pelog_layered,Pelog,Layered,19,0.882358,750.443452,0.029358,0.118121,0.875551,1129.525983,0.032357,0.260703,0.965005
pelog_layered,Pelog,Layered,20,0.928798,735.666911,0.026265,0.112563,0.783304,1131.983745,0.032812,0.261628,0.978579
pelog_layered,Pelog,Layered,21,0.975238,1345.221944,0.027951,0.341832,0.833603,1127.160883,0.033246,0.259814,0.991522
pelog_layered,Pelog,Layered,22,1.021678,1722.860369,0.041960,0.483871,1.000000,1057.950588,0.033096,0.233782,0.987025
pelog_layered,Pelog,Layered,23,1.068118,969.463592,0.047094,0.200500,1.000000,1107.118132,0.032762,0.252275,0.977064
pelog_layered,Pelog,Layered,24,1.114558,922.008055,0.040753,0.182650,1.000000,1138.461803,0.032881,0.264064,0.980618
pelog_layered,Pelog,Layered,25,1.160998,863.640541,0.033956,0.160697,1.000000,1145.661101,0.033219,0.266772,0.990690
pelog_layered,Pelog,Layered,26,1.207438,848.523572,0.028286,0.155011,0.843597,1147.794303,0.033563,0.267574,1.000000
pelog_layered,Pelog,Layered,27,1.253878,2122.830530,0.033494,0.634310,0.998912,1087.235314,0.033642,0.244797,1.000000
pelog_layered,Pelog,Layered,28,1.300317,993.239250,0.038967,0.209442,1.000000,1079.127729,0.033432,0.241747,0.997057
pelog_layered,Pelog,Layered,29,1.346757,886.711225,0.036315,0.169374,1.000000,1141.027555,0.033507,0.265029,0.999299
pelog_layered,Pelog,Layered,30,1.393197,781.702549,0.032096,0.129878,0.957222,1151.311319,0.033804,0.268897,1.000000
pelog_layered,Pelog,Layered,31,1.439637,782.638833,0.028827,0.130230,0.859719,1157.061448,0.034121,0.271060,1.000000
pelog_layered,Pelog,Layered,32,1.486077,1976.591235,0.029683,0.579306,0.885250,1126.742928,0.034249,0.259656,1.000000
pelog_layered,Pelog,Layered,33,1.532517,1522.544943,0.035615,0.408528,1.000000,1077.466192,0.033526,0.241122,0.999865
pelog_layered,Pelog,Layered,34,1.578957,917.553075,0.036183,0.180975,1.000000,1126.681137,0.032722,0.259633,0.975879
pelog_layered,Pelog,Layered,35,1.625397,812.297095,0.032825,0.141385,0.978958,1136.455023,0.032419,0.263309,0.966856
pelog_layered,Pelog,Layered,36,1.671837,771.201089,0.029432,0.125928,0.877748,1142.234647,0.032343,0.265483,0.964592
pelog_layered,Pelog,Layered,37,1.718277,990.047239,0.027785,0.208242,0.828636,1143.425904,0.032365,0.265931,0.965242
pelog_layered,Pelog,Layered,38,1.764717,2105.365612,0.033298,0.627741,0.993056,1079.349269,0.031879,0.241830,0.950736
pelog_layered,Pelog,Layered,39,1.811156,956.118728,0.035302,0.195480,1.000000,1106.144530,0.031268,0.251909,0.932529
pelog_layered,Pelog,Layered,40,1.857596,850.669477,0.032599,0.155818,0.972215,1140.583925,0.031303,0.264862,0.933569
pelog_layered,Pelog,Layered,41,1.904036,738.851545,0.030510,0.113761,0.909904,1146.966901,0.031676,0.267263,0.944672
pelog_layered,Pelog,Layered,42,1.950476,737.325647,0.027502,0.113187,0.820217,1150.662148,0.031962,0.268653,0.953212
pelog_layered,Pelog,Layered,43,1.996916,1953.762501,0.031009,0.570720,0.924800,1092.632367,0.031874,0.246827,0.950603
pelog_layered,Pelog,Layered,44,2.043356,1117.485782,0.034702,0.256175,1.000000,1056.200460,0.031358,0.233124,0.935197
pelog_layered,Pelog,Layered,45,2.089796,979.233013,0.032438,0.204174,0.967401,1098.760005,0.031095,0.249131,0.927348
pelog_layered,Pelog,Layered,46,2.136236,872.348713,0.028722,0.163972,0.856594,1102.653635,0.031130,0.250596,0.928400
pelog_layered,Pelog,Layered,47,2.182676,841.297833,0.023767,0.152293,0.708801,1105.144602,0.031169,0.251533,0.929561
pelog_layered,Pelog,Layered,48,2.229116,1529.144470,0.026757,0.411010,0.797983,1092.573502,0.031107,0.246804,0.927701
pelog_layered,Pelog,Layered,49,2.275556,1575.499111,0.037013,0.428445,1.000000,1023.885251,0.030641,0.220969,0.913823
pelog_layered,Pelog,Layered,50,2.321995,909.362087,0.039542,0.177894,1.000000,1070.574222,0.030184,0.238530,0.900200
pelog_layered,Pelog,Layered,51,2.368435,856.543768,0.034554,0.158028,1.000000,1089.654936,0.030164,0.245707,0.899594
pelog_layered,Pelog,Layered,52,2.414875,815.995602,0.027933,0.142776,0.833071,1095.647800,0.030268,0.247961,0.902680
pelog_layered,Pelog,Layered,53,2.461315,793.906820,0.025284,0.134468,0.754057,1096.466373,0.030327,0.248269,0.904462
pelog_layered,Pelog,Layered,54,2.507755,1768.743971,0.030920,0.501129,0.922138,1035.049720,0.030072,0.225168,0.896860
pelog_layered,Pelog,Layered,55,2.554195,890.169685,0.033531,0.170675,0.999996,1033.592779,0.029622,0.224620,0.883417
pelog_layered,Pelog,Layered,56,2.600635,821.020431,0.030210,0.144666,0.900956,1075.883143,0.029564,0.240527,0.881700
pelog_layered,Pelog,Layered,57,2.647075,738.625245,0.026538,0.113675,0.791449,1078.974373,0.029822,0.241689,0.889398
pelog_layered,Pelog,Layered,58,2.693515,731.600593,0.023991,0.111033,0.715485,1079.945331,0.030164,0.242055,0.899590
pelog_layered,Pelog,Layered,59,2.739955,1889.898136,0.026167,0.546699,0.780375,1044.113745,0.030092,0.228577,0.897436
pelog_layered,Pelog,Layered,60,2.786395,1232.283760,0.032192,0.299353,0.960076,1006.279154,0.029355,0.214347,0.875455
pelog_layered,Pelog,Layered,61,2.832834,858.708841,0.032579,0.158842,0.971630,1051.535205,0.028870,0.231369,0.860997
pelog_layered,Pelog,Layered,62,2.879274,753.697100,0.028698,0.119344,0.855864,1056.343341,0.028842,0.233177,0.860177
