mode,scale_family,composition_type,time_step,time_sec,spectral_centroid,rms_energy,spectral_centroid_norm,rms_energy_norm,spectral_centroid_smooth,rms_energy_smooth,spectral_centroid_smooth_norm,rms_energy_smooth_norm
pelog_melodic,Pelog,Melodic,0,0.000000,1726.401348,0.017776,0.485203,0.530128,798.452952,0.022237,0.136178,0.663185
pelog_melodic,Pelog,Melodic,1,0.046440,851.750762,0.026774,0.156225,0.798499,777.900935,0.021795,0.128448,0.650002
pelog_melodic,Pelog,Melodic,2,0.092880,651.906527,0.025447,0.081058,0.758918,838.171431,0.022360,0.151117,0.666849
pelog_melodic,Pelog,Melodic,3,0.139320,570.519105,0.019553,0.050446,0.583131,827.774337,0.023329,0.147207,0.695739
pelog_melodic,Pelog,Melodic,4,0.185760,593.613099,0.014430,0.059133,0.430354,810.675255,0.023801,0.140775,0.709817
pelog_melodic,Pelog,Melodic,5,0.232200,1078.494418,0.014530,0.241509,0.433335,791.331663,0.023764,0.133500,0.708722
pelog_melodic,Pelog,Melodic,6,0.278639,963.157090,0.025789,0.198128,0.769125,774.820021,0.023425,0.127289,0.698610
pelog_melodic,Pelog,Melodic,7,0.325079,554.358645,0.030883,0.044368,0.921022,791.858949,0.023285,0.133698,0.694443
pelog_melodic,Pelog,Melodic,8,0.371519,500.046657,0.026537,0.023940,0.791437,785.980534,0.023507,0.131487,0.701055
pelog_melodic,Pelog,Melodic,9,0.417959,494.281874,0.020652,0.021772,0.615903,772.124829,0.023685,0.126275,0.706352
pelog_melodic,Pelog,Melodic,10,0.464399,572.380764,0.017375,0.051147,0.518168,758.377193,0.023582,0.121105,0.703280
pelog_melodic,Pelog,Melodic,11,0.510839,1501.146890,0.028574,0.400479,0.852171,697.383184,0.023565,0.098163,0.702789
pelog_melodic,Pelog,Melodic,12,0.557279,703.009198,0.034953,0.100279,1.000000,716.213314,0.023146,0.105246,0.690280
pelog_melodic,Pelog,Melodic,13,0.603719,588.387198,0.029937,0.057167,0.892830,758.653284,0.023516,0.121209,0.701339
pelog_melodic,Pelog,Melodic,14,0.650159,520.521375,0.023250,0.031641,0.693381,765.165344,0.024503,0.123658,0.730766
pelog_melodic,Pelog,Melodic,15,0.696599,527.145384,0.018339,0.034132,0.546930,765.391773,0.025429,0.123743,0.758376
pelog_melodic,Pelog,Melodic,16,0.743039,1064.481802,0.021050,0.236238,0.627780,739.763114,0.025958,0.114103,0.774165
pelog_melodic,Pelog,Melodic,17,0.789478,686.047471,0.027276,0.093900,0.813459,719.974049,0.025616,0.106660,0.763947
