mode,scale_family,composition_type,time_step,time_sec,spectral_centroid,rms_energy,spectral_centroid_norm,rms_energy_norm,spectral_centroid_smooth,rms_energy_smooth,spectral_centroid_smooth_norm,rms_energy_smooth_norm
pelog_spectral,Pelog,Spectral,0,0.000000,2537.265601,0.008903,0.790190,0.265521,1279.535402,0.014092,0.317126,0.420265
pelog_spectral,Pelog,Spectral,1,0.046440,1238.229480,0.014399,0.301589,0.429417,1230.079865,0.014086,0.298524,0.420083
pelog_spectral,Pelog,Spectral,2,0.092880,1019.796032,0.014789,0.219431,0.441058,1316.256331,0.014267,0.330937,0.425502
pelog_spectral,Pelog,Spectral,3,0.139320,859.029855,0.011892,0.158963,0.354648,1293.081974,0.014652,0.322221,0.436970
pelog_spectral,Pelog,Spectral,4,0.185760,977.442547,0.009464,0.203501,0.282248,1261.862142,0.014920,0.310478,0.444952
pelog_spectral,Pelog,Spectral,5,0.232200,2116.059605,0.014305,0.631764,0.426620,1228.091951,0.014834,0.297776,0.442403
pelog_spectral,Pelog,Spectral,6,0.278639,1507.461845,0.018573,0.402855,0.553918,1201.320481,0.014570,0.287707,0.434522
pelog_spectral,Pelog,Spectral,7,0.325079,922.888924,0.018513,0.182982,0.552125,1254.786029,0.014384,0.307817,0.428972
pelog_spectral,Pelog,Spectral,8,0.371519,841.977003,0.016319,0.152549,0.486681,1258.631704,0.014417,0.309263,0.429967
pelog_spectral,Pelog,Spectral,9,0.417959,775.203127,0.013762,0.127433,0.410415,1235.452860,0.014488,0.300545,0.432078
pelog_spectral,Pelog,Spectral,10,0.464399,735.524491,0.014025,0.112509,0.418263,1212.673657,0.014389,0.291977,0.429130
pelog_spectral,Pelog,Spectral,11,0.510839,2264.197466,0.016266,0.687482,0.485106,1126.000908,0.014401,0.259377,0.429493
pelog_spectral,Pelog,Spectral,12,0.557279,1014.989685,0.019266,0.217623,0.574586,1171.527097,0.014376,0.276501,0.428743
pelog_spectral,Pelog,Spectral,13,0.603719,856.004330,0.018399,0.157825,0.548715,1212.095155,0.014631,0.291760,0.436343
pelog_spectral,Pelog,Spectral,14,0.650159,755.309279,0.013638,0.119951,0.406722,1217.910715,0.015142,0.293947,0.451596
pelog_spectral,Pelog,Spectral,15,0.696599,799.748427,0.010606,0.136665,0.316302,1213.012405,0.015662,0.292105,0.467103
pelog_spectral,Pelog,Spectral,16,0.743039,2110.234795,0.011406,0.629573,0.340179,1147.643497,0.015757,0.267518,0.469930
pelog_spectral,Pelog,Spectral,17,0.789478,1324.008185,0.014984,0.333853,0.446875,1110.019066,0.015583,0.253366,0.464725
pelog_spectral,Pelog,Spectral,18,0.835918,818.233664,0.015762,0.143618,0.470089,1158.612420,0.015552,0.271643,0.463809
pelog_spectral,Pelog,Spectral,19,0.882358,779.868791,0.012511,0.129188,0.373119,1164.878383,0.015837,0.274000,0.472312
pelog_spectral,Pelog,Spectral,20,0.928798,803.810636,0.009147,0.138193,0.272780,1167.425879,0.016200,0.274958,0.483148
pelog_spectral,Pelog,Spectral,21,0.975238,2148.753252,0.013896,0.644061,0.414413,1168.933932,0.016305,0.275526,0.486279
pelog_spectral,Pelog,Spectral,22,1.021678,1831.157196,0.019886,0.524605,0.593066,1093.419567,0.016129,0.247123,0.481030
pelog_spectral,Pelog,Spectral,23,1.068118,975.341061,0.022120,0.202710,0.659694,1126.602661,0.015904,0.259604,0.474323
pelog_spectral,Pelog,Spectral,24,1.114558,879.476331,0.019863,0.166653,0.592384,1147.027784,0.015923,0.267286,0.474865
pelog_spectral,Pelog,Spectral,25,1.160998,808.681446,0.016201,0.140025,0.483160,1151.025693,0.016240,0.268790,0.484334
pelog_spectral,Pelog,Spectral,26,1.207438,754.973221,0.015083,0.119824,0.449826,1150.362770,0.016557,0.268540,0.493800
pelog_spectral,Pelog,Spectral,27,1.253878,1894.756007,0.017899,0.548526,0.533810,1083.143490,0.016629,0.243258,0.495935
pelog_spectral,Pelog,Spectral,28,1.300317,967.296272,0.022021,0.199684,0.656729,1060.980182,0.016493,0.234921,0.491884
pelog_spectral,Pelog,Spectral,29,1.346757,826.153050,0.021029,0.146597,0.627141,1125.041674,0.016414,0.259017,0.489520
pelog_spectral,Pelog,Spectral,30,1.393197,765.685546,0.016124,0.123854,0.480882,1130.447057,0.016630,0.261050,0.495969
pelog_spectral,Pelog,Spectral,31,1.439637,753.910171,0.012746,0.119424,0.380133,1128.197813,0.016963,0.260204,0.505895
pelog_spectral,Pelog,Spectral,32,1.486077,1678.651560,0.014769,0.467243,0.440450,1056.003889,0.016848,0.233050,0.502452
