mode,scale_family,composition_type,time_step,time_sec,spectral_centroid,rms_energy,spectral_centroid_norm,rms_energy_norm,spectral_centroid_smooth,rms_energy_smooth,spectral_centroid_smooth_norm,rms_energy_smooth_norm
slendro_alternating,Slendro,Alternating,0,0.000000,1666.746936,0.015194,0.462766,0.453129,1766.187383,0.015422,0.500168,0.459951
slendro_alternating,Slendro,Alternating,1,0.046440,3139.075018,0.024891,1.000000,0.742323,1720.300082,0.014548,0.482908,0.433872
slendro_alternating,Slendro,Alternating,2,0.092880,2043.442784,0.026042,0.604451,0.776669,1685.428179,0.014807,0.469792,0.441584
slendro_alternating,Slendro,Alternating,3,0.139320,1432.003491,0.021439,0.374473,0.639391,1610.006292,0.015502,0.441424,0.462327
slendro_alternating,Slendro,Alternating,4,0.185760,1151.880016,0.016636,0.269111,0.496146,1538.461189,0.015885,0.414514,0.473739
slendro_alternating,Slendro,Alternating,5,0.232200,2028.758314,0.015387,0.598927,0.458881,1475.355822,0.015832,0.390779,0.472171
slendro_alternating,Slendro,Alternating,6,0.278639,1964.736130,0.013867,0.574847,0.413556,1420.126452,0.015488,0.370005,0.461898
slendro_alternating,Slendro,Alternating,7,0.325079,1475.429044,0.009439,0.390806,0.281514,1381.677448,0.015032,0.355544,0.448317
slendro_alternating,Slendro,Alternating,8,0.371519,1395.111704,0.006419,0.360597,0.191439,1338.919827,0.014678,0.339462,0.437735
slendro_alternating,Slendro,Alternating,9,0.417959,1364.690394,0.004911,0.349155,0.146460,1294.609576,0.014412,0.322795,0.429803
slendro_alternating,Slendro,Alternating,10,0.464399,1261.427075,0.005804,0.310315,0.173082,1252.575813,0.014165,0.306985,0.422440
slendro_alternating,Slendro,Alternating,11,0.510839,1301.837248,0.017651,0.325514,0.526415,1191.056467,0.013863,0.283846,0.413447
slendro_alternating,Slendro,Alternating,12,0.557279,704.943637,0.023848,0.101007,0.711240,1080.389042,0.013142,0.242222,0.391929
slendro_alternating,Slendro,Alternating,13,0.603719,608.374852,0.020860,0.064685,0.622101,1067.473250,0.012731,0.237364,0.379680
slendro_alternating,Slendro,Alternating,14,0.650159,591.880688,0.015096,0.058481,0.450220,1188.480842,0.012754,0.282878,0.380358
slendro_alternating,Slendro,Alternating,15,0.696599,591.685898,0.010321,0.058408,0.307808,1232.904930,0.012899,0.299587,0.384687
slendro_alternating,Slendro,Alternating,16,0.743039,766.493389,0.007746,0.124157,0.231011,1211.299541,0.012911,0.291460,0.385060
slendro_alternating,Slendro,Alternating,17,0.789478,612.040268,0.008646,0.066064,0.257851,1181.908130,0.012873,0.280405,0.383931
