mode,scale_family,composition_type,time_step,time_sec,spectral_centroid,rms_energy,spectral_centroid_norm,rms_energy_norm,spectral_centroid_smooth,rms_energy_smooth,spectral_centroid_smooth_norm,rms_energy_smooth_norm
slendro_layered,Slendro,Layered,0,0.000000,1929.083965,0.021094,0.561437,0.629083,1754.654739,0.028214,0.495830,0.841431
slendro_layered,Slendro,Layered,1,0.046440,2507.102375,0.032010,0.778845,0.954643,1702.138756,0.027397,0.476077,0.817069
slendro_layered,Slendro,Layered,2,0.092880,1686.072457,0.030751,0.470035,0.917107,1711.855599,0.027477,0.479732,0.819459
slendro_layered,Slendro,Layered,3,0.139320,1230.787061,0.024042,0.298790,0.717015,1811.794433,0.027980,0.517322,0.834456
slendro_layered,Slendro,Layered,4,0.185760,1031.893308,0.018488,0.223981,0.551367,1805.038956,0.028075,0.514781,0.837298
slendro_layered,Slendro,Layered,5,0.232200,1782.654810,0.023181,0.506362,0.691328,1771.932870,0.027797,0.502329,0.828995
slendro_layered,Slendro,Layered,6,0.278639,1837.893375,0.037433,0.527138,1.000000,1727.528579,0.027338,0.485627,0.815317
slendro_layered,Slendro,Layered,7,0.325079,2738.140711,0.040325,0.865744,1.000000,1731.004350,0.027069,0.486935,0.807289
slendro_layered,Slendro,Layered,8,0.371519,1501.976903,0.031391,0.400792,0.936182,1778.965472,0.027069,0.504974,0.807303
slendro_layered,Slendro,Layered,9,0.417959,1300.942428,0.023423,0.325177,0.698560,1815.534929,0.027029,0.518729,0.806085
slendro_layered,Slendro,Layered,10,0.464399,1176.978923,0.019228,0.278551,0.573442,1796.136832,0.026818,0.511433,0.799817
slendro_layered,Slendro,Layered,11,0.510839,1818.740875,0.028359,0.519935,0.845749,1752.272285,0.026769,0.494934,0.798327
slendro_layered,Slendro,Layered,12,0.557279,3011.060441,0.034015,0.968396,1.000000,1703.582629,0.026346,0.476621,0.785719
slendro_layered,Slendro,Layered,13,0.603719,1717.217758,0.029314,0.481749,0.874239,1703.129290,0.026792,0.476450,0.799036
slendro_layered,Slendro,Layered,14,0.650159,1308.447654,0.023899,0.328000,0.712760,1770.877521,0.027805,0.501932,0.829246
slendro_layered,Slendro,Layered,15,0.696599,1061.464222,0.020458,0.235103,0.610134,1787.784249,0.028560,0.508291,0.851770
slendro_layered,Slendro,Layered,16,0.743039,1786.616678,0.022762,0.507852,0.678841,1758.059593,0.028589,0.497111,0.852622
slendro_layered,Slendro,Layered,17,0.789478,2594.304545,0.027078,0.811644,0.807547,1719.955156,0.027631,0.482779,0.824045
slendro_layered,Slendro,Layered,18,0.835918,2473.785156,0.026293,0.766313,0.784159,1679.177781,0.026955,0.467441,0.803893
