mode,scale_family,composition_type,time_step,time_sec,spectral_centroid,rms_energy,spectral_centroid_norm,rms_energy_norm,spectral_centroid_smooth,rms_energy_smooth,spectral_centroid_smooth_norm,rms_energy_smooth_norm
slendro_melodic,Slendro,Melodic,0,0.000000,2039.354545,0.015669,0.602913,0.467301,1242.378267,0.013565,0.303150,0.404560
slendro_melodic,Slendro,Melodic,1,0.046440,746.821820,0.023813,0.116758,0.710169,1251.046611,0.013040,0.306410,0.388889
slendro_melodic,Slendro,Melodic,2,0.092880,546.200966,0.023200,0.041300,0.691903,1319.916864,0.013513,0.332314,0.403014
slendro_melodic,Slendro,Melodic,3,0.139320,474.742844,0.018041,0.014423,0.538030,1302.178313,0.014246,0.325642,0.424866
slendro_melodic,Slendro,Melodic,4,0.185760,518.511773,0.012519,0.030885,0.373366,1287.577778,0.014583,0.320151,0.434909
slendro_melodic,Slendro,Melodic,5,0.232200,2015.204489,0.011317,0.593830,0.337508,1262.152427,0.014524,0.310587,0.433149
slendro_melodic,Slendro,Melodic,6,0.278639,2040.401135,0.011365,0.603307,0.338954,1250.457959,0.014201,0.306189,0.423536
slendro_melodic,Slendro,Melodic,7,0.325079,1390.454912,0.008665,0.358845,0.258412,1309.500303,0.013877,0.328396,0.413871
slendro_melodic,Slendro,Melodic,8,0.371519,1342.467451,0.006284,0.340796,0.187423,1331.541792,0.013525,0.336687,0.403373
slendro_melodic,Slendro,Melodic,9,0.417959,1309.622734,0.004779,0.328442,0.142531,1333.640354,0.013007,0.337476,0.387910
slendro_melodic,Slendro,Melodic,10,0.464399,1337.730056,0.007785,0.339014,0.232184,1326.484280,0.012488,0.334784,0.372420
slendro_melodic,Slendro,Melodic,11,0.510839,2077.489638,0.018723,0.617257,0.558387,1282.039855,0.011818,0.318068,0.352440
slendro_melodic,Slendro,Melodic,12,0.557279,1089.315702,0.023039,0.245579,0.687095,1359.860167,0.011212,0.347338,0.334385
slendro_melodic,Slendro,Melodic,13,0.603719,1097.770832,0.018960,0.248759,0.565458,1430.802847,0.011301,0.374021,0.337023
slendro_melodic,Slendro,Melodic,14,0.650159,906.197513,0.013698,0.176704,0.408507,1455.048569,0.011829,0.383141,0.352774
slendro_melodic,Slendro,Melodic,15,0.696599,1075.040930,0.009367,0.240210,0.279355,1471.166992,0.012326,0.389203,0.367589
slendro_melodic,Slendro,Melodic,16,0.743039,2254.177809,0.008692,0.683713,0.259232,1409.435080,0.012550,0.365984,0.374297
slendro_melodic,Slendro,Melodic,17,0.789478,1706.247111,0.007541,0.477623,0.224898,1348.812834,0.012514,0.343183,0.373220
slendro_melodic,Slendro,Melodic,18,0.835918,1371.414456,0.003674,0.351684,0.109573,1403.083321,0.012595,0.363595,0.375626
slendro_melodic,Slendro,Melodic,19,0.882358,1190.518893,0.002619,0.283644,0.078116,1425.345376,0.012713,0.371968,0.379151
slendro_melodic,Slendro,Melodic,20,0.928798,1150.466031,0.002270,0.268579,0.067707,1460.210965,0.012635,0.385082,0.376823
slendro_melodic,Slendro,Melodic,21,0.975238,2303.228073,0.011704,0.702163,0.349059,1484.492785,0.012356,0.394215,0.368498
slendro_melodic,Slendro,Melodic,22,1.021678,1965.054553,0.024969,0.574967,0.744666,1485.029723,0.011504,0.394417,0.343082
slendro_melodic,Slendro,Melodic,23,1.068118,959.657281,0.028604,0.196811,0.853054,1548.460728,0.010906,0.418275,0.325265
slendro_melodic,Slendro,Melodic,24,1.114558,840.880239,0.022454,0.152136,0.669653,1575.249318,0.010879,0.428351,0.324440
slendro_melodic,Slendro,Melodic,25,1.160998,780.566242,0.015816,0.129451,0.471678,1578.822552,0.011117,0.429695,0.331543
slendro_melodic,Slendro,Melodic,26,1.207438,827.956215,0.010643,0.147275,0.317404,1568.994165,0.011327,0.425998,0.337803
slendro_melodic,Slendro,Melodic,27,1.253878,2475.864663,0.010278,0.767096,0.306534,1502.504093,0.011353,0.400990,0.338580
slendro_melodic,Slendro,Melodic,28,1.300317,1787.708557,0.008648,0.508262,0.257925,1498.405041,0.011393,0.399448,0.339783
slendro_melodic,Slendro,Melodic,29,1.346757,2006.934502,0.003218,0.590719,0.095975,1553.586193,0.011617,0.420203,0.346454
slendro_melodic,Slendro,Melodic,30,1.393197,1823.366459,0.002202,0.521674,0.065685,1577.211665,0.011745,0.429089,0.350285
slendro_melodic,Slendro,Melodic,31,1.439637,2088.228393,0.001679,0.621296,0.050059,1599.364391,0.011762,0.437421,0.350787
slendro_melodic,Slendro,Melodic,32,1.486077,2357.935813,0.011091,0.722740,0.330757,1558.925011,0.011248,0.422211,0.335459
slendro_melodic,Slendro,Melodic,33,1.532517,1633.542620,0.018407,0.450277,0.548960,1539.769078,0.010056,0.415006,0.299912
slendro_melodic,Slendro,Melodic,34,1.578957,977.662201,0.018461,0.203583,0.550576,1605.250750,0.009369,0.439635,0.279419
slendro_melodic,Slendro,Melodic,35,1.625397,878.473197,0.013565,0.166276,0.404544,1607.553074,0.009410,0.440501,0.280640
slendro_melodic,Slendro,Melodic,36,1.671837,924.376366,0.009214,0.183541,0.274783,1599.850009,0.009783,0.437604,0.291750
slendro_melodic,Slendro,Melodic,37,1.718277,1624.266072,0.008347,0.446788,0.248948,1585.747532,0.010141,0.432300,0.302452
slendro_melodic,Slendro,Melodic,38,1.764717,2475.037486,0.008148,0.766784,0.243002,1493.967669,0.010227,0.397779,0.304994
slendro_melodic,Slendro,Melodic,39,1.811156,1663.028340,0.005188,0.461367,0.154737,1504.598548,0.010339,0.401778,0.308334
slendro_melodic,Slendro,Melodic,40,1.857596,1593.520545,0.002606,0.435223,0.077733,1510.239503,0.010714,0.403899,0.319523
slendro_melodic,Slendro,Melodic,41,1.904036,1494.440479,0.001425,0.397957,0.042511,1490.294098,0.011001,0.396397,0.328086
slendro_melodic,Slendro,Melodic,42,1.950476,1581.935894,0.001130,0.430866,0.033714,1455.718881,0.011201,0.383393,0.334061
slendro_melodic,Slendro,Melodic,43,1.996916,2269.290708,0.014861,0.689398,0.443208,1403.384503,0.010868,0.363708,0.324127
slendro_melodic,Slendro,Melodic,44,2.043356,886.926735,0.023272,0.169455,0.694058,1385.566425,0.010252,0.357007,0.305750
slendro_melodic,Slendro,Melodic,45,2.089796,626.504938,0.023266,0.071504,0.693881,1442.175677,0.010081,0.378299,0.300646
slendro_melodic,Slendro,Melodic,46,2.136236,545.906678,0.017820,0.041189,0.531458,1448.551601,0.010342,0.380697,0.308429
slendro_melodic,Slendro,Melodic,47,2.182676,640.267405,0.011983,0.076681,0.357375,1444.647782,0.010655,0.379229,0.317755
slendro_melodic,Slendro,Melodic,48,2.229116,2000.326132,0.010888,0.588233,0.324721,1399.544746,0.010789,0.362264,0.321762
slendro_melodic,Slendro,Melodic,49,2.275556,2119.753610,0.010721,0.633153,0.319750,1316.765554,0.010756,0.331129,0.320778
slendro_melodic,Slendro,Melodic,50,2.321995,1424.458341,0.007945,0.371635,0.236948,1353.137627,0.010925,0.344809,0.325817
slendro_melodic,Slendro,Melodic,51,2.368435,1396.724058,0.005686,0.361203,0.169561,1369.806515,0.011211,0.351079,0.334338
slendro_melodic,Slendro,Melodic,52,2.414875,1311.248260,0.004428,0.329054,0.132064,1365.756727,0.011353,0.349556,0.338598
slendro_melodic,Slendro,Melodic,53,2.461315,1277.181053,0.006083,0.316240,0.181424,1350.010675,0.011429,0.343633,0.340840
slendro_melodic,Slendro,Melodic,54,2.507755,2109.847245,0.015038,0.629427,0.448492,1300.927037,0.010785,0.325172,0.321649
slendro_melodic,Slendro,Melodic,55,2.554195,1005.991679,0.018785,0.214239,0.560222,1361.586259,0.009985,0.347987,0.297786
slendro_melodic,Slendro,Melodic,56,2.600635,846.299990,0.015467,0.154175,0.461291,1428.833064,0.009572,0.373280,0.285466
slendro_melodic,Slendro,Melodic,57,2.647075,722.205340,0.011034,0.107500,0.329083,1449.225609,0.009576,0.380950,0.285598
slendro_melodic,Slendro,Melodic,58,2.693515,819.453655,0.007489,0.144077,0.223334,1459.426822,0.009730,0.384787,0.290168
slendro_melodic,Slendro,Melodic,59,2.739955,2390.469797,0.008568,0.734976,0.255513,1398.573079,0.009722,0.361899,0.289932
slendro_melodic,Slendro,Melodic,60,2.786395,1926.898310,0.008320,0.560615,0.248144,1333.651239,0.009541,0.337480,0.284551
slendro_melodic,Slendro,Melodic,61,2.832834,1413.444707,0.004283,0.367492,0.127729,1383.407045,0.009554,0.356194,0.284933
slendro_melodic,Slendro,Melodic,62,2.879274,1267.014849,0.002634,0.312416,0.078540,1387.107852,0.009678,0.357586,0.288639
slendro_melodic,Slendro,Melodic,63,2.925714,1287.617958,0.001992,0.320166,0.059397,1384.205677,0.009677,0.356495,0.288602
slendro_melodic,Slendro,Melodic,64,2.972154,2100.111181,0.007269,0.625765,0.216785,1378.934930,0.009495,0.354512,0.283178
slendro_melodic,Slendro,Melodic,65,3.018594,1971.441031,0.015005,0.577369,0.447497,1343.412994,0.008815,0.341152,0.262905
slendro_melodic,Slendro,Melodic,66,3.065034,953.757589,0.017908,0.194592,0.534087,1408.656070,0.008305,0.365691,0.247678
slendro_melodic,Slendro,Melodic,67,3.111474,844.291656,0.015048,0.153419,0.448786,1452.550455,0.008211,0.382201,0.244882
slendro_melodic,Slendro,Melodic,68,3.157914,783.251266,0.010730,0.130460,0.319991,1465.470575,0.008337,0.387061,0.248623
slendro_melodic,Slendro,Melodic,69,3.204354,821.316819,0.007113,0.144778,0.212129,1468.835164,0.008479,0.388326,0.252886
slendro_melodic,Slendro,Melodic,70,3.250794,2419.574449,0.008201,0.745923,0.244585,1396.593343,0.008413,0.361154,0.250907
slendro_melodic,Slendro,Melodic,71,3.297234,1470.740199,0.008171,0.389043,0.243683,1364.724316,0.008352,0.349167,0.249097
slendro_melodic,Slendro,Melodic,72,3.343673,1253.204758,0.004404,0.307222,0.131337,1411.512319,0.008521,0.366765,0.254129
slendro_melodic,Slendro,Melodic,73,3.390113,1171.766131,0.002446,0.276591,0.072936,1417.868513,0.008683,0.369156,0.258968
slendro_melodic,Slendro,Melodic,74,3.436553,1399.408511,0.001443,0.362213,0.043033,1418.799737,0.008758,0.369506,0.261189
slendro_melodic,Slendro,Melodic,75,3.482993,2310.853197,0.008573,0.705031,0.255686,1377.580589,0.008485,0.354003,0.253041
slendro_melodic,Slendro,Melodic,76,3.529433,1724.187701,0.013592,0.484371,0.405360,1353.715502,0.007788,0.345027,0.232255
slendro_melodic,Slendro,Melodic,77,3.575873,980.607744,0.013543,0.204691,0.403908,1410.202367,0.007577,0.366273,0.225984
slendro_melodic,Slendro,Melodic,78,3.622313,886.745434,0.010347,0.169387,0.308587,1411.754710,0.007959,0.366857,0.237355
slendro_melodic,Slendro,Melodic,79,3.668753,945.633368,0.007241,0.191536,0.215941,1399.313530,0.008593,0.362177,0.256270
slendro_melodic,Slendro,Melodic,80,3.715193,1289.517773,0.007107,0.320880,0.211947,1382.190194,0.009163,0.355737,0.273261
slendro_melodic,Slendro,Melodic,81,3.761633,2349.204769,0.007657,0.719456,0.228359,1286.237378,0.009416,0.319646,0.280825
slendro_melodic,Slendro,Melodic,82,3.808073,1394.138717,0.005879,0.360231,0.175318,1294.605335,0.009528,0.322794,0.284160
slendro_melodic,Slendro,Melodic,83,3.854512,1306.242455,0.003481,0.327171,0.103820,1338.039252,0.009764,0.339130,0.291195
slendro_melodic,Slendro,Melodic,84,3.900952,1275.728207,0.001805,0.315694,0.053829,1331.993497,0.009981,0.336856,0.297660
slendro_melodic,Slendro,Melodic,85,3.947392,1494.139301,0.001066,0.397844,0.031781,1306.422496,0.010163,0.327238,0.303088
slendro_melodic,Slendro,Melodic,86,3.993832,2083.494894,0.013703,0.619515,0.408668,1227.686315,0.009945,0.297624,0.296581
slendro_melodic,Slendro,Melodic,87,4.040272,875.338518,0.022674,0.165097,0.676209,1178.828631,0.009510,0.279247,0.283621
slendro_melodic,Slendro,Melodic,88,4.086712,534.427648,0.023414,0.036872,0.698284,1241.300791,0.009504,0.302745,0.283429
slendro_melodic,Slendro,Melodic,89,4.133152,478.850106,0.018507,0.015967,0.551955,1249.842221,0.009847,0.305957,0.293657
slendro_melodic,Slendro,Melodic,90,4.179592,500.518135,0.013273,0.024117,0.395856,1243.720085,0.010213,0.303655,0.304600
slendro_melodic,Slendro,Melodic,91,4.226032,1638.099326,0.010408,0.451991,0.310392,1215.549834,0.010388,0.293059,0.309796
slendro_melodic,Slendro,Melodic,92,4.272472,2121.883107,0.009122,0.633954,0.272037,1137.698665,0.010359,0.263777,0.308945
