mode,scale_family,composition_type,time_step,time_sec,spectral_centroid,rms_energy,spectral_centroid_norm,rms_energy_norm,spectral_centroid_smooth,rms_energy_smooth,spectral_centroid_smooth_norm,rms_energy_smooth_norm
slendro_spectral,Slendro,Spectral,0,0.000000,2537.265601,0.008903,0.790190,0.265521,1279.535402,0.014092,0.317126,0.420265
slendro_spectral,Slendro,Spectral,1,0.046440,1238.229480,0.014399,0.301589,0.429417,1230.033732,0.014086,0.298507,0.420096
slendro_spectral,Slendro,Spectral,2,0.092880,1019.796032,0.014789,0.219431,0.441058,1315.879545,0.014264,0.330796,0.425415
slendro_spectral,Slendro,Spectral,3,0.139320,859.029855,0.011892,0.158963,0.354648,1292.989153,0.014645,0.322186,0.436765
slendro_spectral,Slendro,Spectral,4,0.185760,977.442547,0.009464,0.203501,0.282248,1262.018705,0.014910,0.310537,0.444657
slendro_spectral,Slendro,Spectral,5,0.232200,2116.059605,0.014305,0.631764,0.426620,1228.207308,0.014820,0.297820,0.441995
slendro_spectral,Slendro,Spectral,6,0.278639,1507.461845,0.018573,0.402855,0.553918,1201.240953,0.014554,0.287677,0.434060
slendro_spectral,Slendro,Spectral,7,0.325079,922.888924,0.018513,0.182982,0.552125,1254.989575,0.014368,0.307893,0.428510
slendro_spectral,Slendro,Spectral,8,0.371519,841.977003,0.016319,0.152549,0.486681,1258.898710,0.014402,0.309364,0.429526
slendro_spectral,Slendro,Spectral,9,0.417959,775.203127,0.013762,0.127433,0.410415,1235.760991,0.014474,0.300661,0.431662
slendro_spectral,Slendro,Spectral,10,0.464399,735.017027,0.014030,0.112318,0.418408,1213.022665,0.014376,0.292108,0.428734
slendro_spectral,Slendro,Spectral,11,0.510839,2260.183494,0.016226,0.685972,0.483917,1126.406766,0.014388,0.259530,0.429101
slendro_spectral,Slendro,Spectral,12,0.557279,1018.304446,0.019212,0.218870,0.572974,1171.892593,0.014363,0.276638,0.428354
slendro_spectral,Slendro,Spectral,13,0.603719,859.402878,0.018350,0.159103,0.547249,1212.463023,0.014618,0.291898,0.435957
slendro_spectral,Slendro,Spectral,14,0.650159,754.847756,0.013571,0.119777,0.404722,1218.280075,0.015129,0.294086,0.451208
slendro_spectral,Slendro,Spectral,15,0.696599,796.745621,0.010563,0.135536,0.315032,1213.361756,0.015649,0.292236,0.466715
slendro_spectral,Slendro,Spectral,16,0.743039,2114.967528,0.011391,0.631353,0.339712,1148.005376,0.015744,0.267654,0.469542
slendro_spectral,Slendro,Spectral,17,0.789478,1325.354016,0.014982,0.334359,0.446812,1110.379399,0.015570,0.253502,0.464337
slendro_spectral,Slendro,Spectral,18,0.835918,819.282034,0.015763,0.144013,0.470099,1158.963842,0.015539,0.271776,0.463422
slendro_spectral,Slendro,Spectral,19,0.882358,780.994475,0.012511,0.129612,0.373109,1165.225652,0.015824,0.274131,0.471925
slendro_spectral,Slendro,Spectral,20,0.928798,804.947629,0.009149,0.138621,0.272850,1167.762667,0.016187,0.275085,0.482761
slendro_spectral,Slendro,Spectral,21,0.975238,2147.946012,0.013898,0.643757,0.414492,1169.286188,0.016292,0.275658,0.485884
slendro_spectral,Slendro,Spectral,22,1.021678,1831.204634,0.019887,0.524622,0.593103,1093.957525,0.016118,0.247325,0.480695
slendro_spectral,Slendro,Spectral,23,1.068118,975.370894,0.022120,0.202722,0.659683,1126.972755,0.015896,0.259743,0.474069
slendro_spectral,Slendro,Spectral,24,1.114558,879.076168,0.019863,0.166503,0.592381,1147.228519,0.015916,0.267362,0.474684
slendro_spectral,Slendro,Spectral,25,1.160998,808.932002,0.016201,0.140120,0.483155,1151.245782,0.016237,0.268873,0.484253
slendro_spectral,Slendro,Spectral,26,1.207438,754.942306,0.015083,0.119813,0.449829,1150.741247,0.016557,0.268683,0.493782
slendro_spectral,Slendro,Spectral,27,1.253878,1894.577785,0.017899,0.548459,0.533814,1083.293324,0.016629,0.243314,0.495940
slendro_spectral,Slendro,Spectral,28,1.300317,967.213216,0.022021,0.199653,0.656734,1061.062551,0.016494,0.234952,0.491893
slendro_spectral,Slendro,Spectral,29,1.346757,825.943419,0.021028,0.146518,0.627141,1125.070907,0.016414,0.259028,0.489528
slendro_spectral,Slendro,Spectral,30,1.393197,765.487445,0.016124,0.123779,0.480877,1130.418222,0.016631,0.261039,0.495978
slendro_spectral,Slendro,Spectral,31,1.439637,753.610232,0.012746,0.119312,0.380132,1128.113070,0.016963,0.260172,0.505900
slendro_spectral,Slendro,Spectral,32,1.486077,1678.609045,0.014769,0.467227,0.440450,1055.959475,0.016848,0.233033,0.502453
slendro_spectral,Slendro,Spectral,33,1.532517,1264.518169,0.018762,0.311477,0.559547,1000.947714,0.016324,0.212342,0.486839
slendro_spectral,Slendro,Spectral,34,1.578957,835.193001,0.019988,0.149997,0.596096,1069.359623,0.015825,0.238073,0.471962
slendro_spectral,Slendro,Spectral,35,1.625397,786.654927,0.016954,0.131741,0.505623,1081.898536,0.015662,0.242789,0.467103
slendro_spectral,Slendro,Spectral,36,1.671837,766.009076,0.012838,0.123975,0.382879,1084.671615,0.015707,0.243832,0.468448
slendro_spectral,Slendro,Spectral,37,1.718277,880.738560,0.012268,0.167128,0.365864,1085.739920,0.015647,0.244234,0.466658
slendro_spectral,Slendro,Spectral,38,1.764717,2099.449144,0.014177,0.625516,0.422808,1034.133045,0.015281,0.224823,0.455736
slendro_spectral,Slendro,Spectral,39,1.811156,887.940776,0.016836,0.169837,0.502101,1095.897230,0.014752,0.248055,0.439947
slendro_spectral,Slendro,Spectral,40,1.857596,758.844588,0.015803,0.121280,0.471287,1166.879945,0.014523,0.274753,0.433129
